Indicator 58 Monthly total of fuel used by vehicles at Australian Antarctic Stations,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
Oct-97,-67.60269444,62.87380556,Mawson,Fuel usage,150,,litres
Oct-97,-68.57661111,77.96738889,Davis,Fuel usage,3560,,litres
Oct-97,-66.28180556,110.5276111,Casey,Fuel usage,200,,litres
Oct-97,-54.61988889,158.861,Macquarie Island,Fuel usage,280,,litres
Nov-97,-67.60269444,62.87380556,Mawson,Fuel usage,1150,,litres
Nov-97,-68.57661111,77.96738889,Davis,Fuel usage,2260,,litres
Nov-97,-66.28180556,110.5276111,Casey,Fuel usage,7423,,litres
Nov-97,-54.61988889,158.861,Macquarie Island,Fuel usage,412,,litres
Dec-97,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres
Dec-97,-68.57661111,77.96738889,Davis,Fuel usage,890,,litres
Dec-97,-66.28180556,110.5276111,Casey,Fuel usage,5407,,litres
Dec-97,-54.61988889,158.861,Macquarie Island,Fuel usage,313,,litres
Jan-98,-67.60269444,62.87380556,Mawson,Fuel usage,1600,,litres
Jan-98,-68.57661111,77.96738889,Davis,Fuel usage,810,,litres
Jan-98,-66.28180556,110.5276111,Casey,Fuel usage,3500,,litres
Jan-98,-54.61988889,158.861,Macquarie Island,Fuel usage,200,,litres
Feb-98,-67.60269444,62.87380556,Mawson,Fuel usage,4375,,litres
Feb-98,-68.57661111,77.96738889,Davis,Fuel usage,620,,litres
Feb-98,-66.28180556,110.5276111,Casey,Fuel usage,2809,,litres
Feb-98,-54.61988889,158.861,Macquarie Island,Fuel usage,304,,litres
Mar-98,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres
Mar-98,-68.57661111,77.96738889,Davis,Fuel usage,630,,litres
Mar-98,-66.28180556,110.5276111,Casey,Fuel usage,3996,,litres
Mar-98,-54.61988889,158.861,Macquarie Island,Fuel usage,210,,litres
Apr-98,-67.60269444,62.87380556,Mawson,Fuel usage,50,,litres
Apr-98,-68.57661111,77.96738889,Davis,Fuel usage,1040,,litres
Apr-98,-66.28180556,110.5276111,Casey,Fuel usage,2001,,litres
Apr-98,-54.61988889,158.861,Macquarie Island,Fuel usage,158,,litres
May-98,-67.60269444,62.87380556,Mawson,Fuel usage,430,,litres
May-98,-68.57661111,77.96738889,Davis,Fuel usage,270,,litres
May-98,-66.28180556,110.5276111,Casey,Fuel usage,824,,litres
May-98,-54.61988889,158.861,Macquarie Island,Fuel usage,224,,litres
Jun-98,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Jun-98,-68.57661111,77.96738889,Davis,Fuel usage,290,,litres
Jun-98,-66.28180556,110.5276111,Casey,Fuel usage,610,,litres
Jun-98,-54.61988889,158.861,Macquarie Island,Fuel usage,147,,litres
Jul-98,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Jul-98,-68.57661111,77.96738889,Davis,Fuel usage,,,litres
Jul-98,-66.28180556,110.5276111,Casey,Fuel usage,555,,litres
Jul-98,-54.61988889,158.861,Macquarie Island,Fuel usage,79,,litres
Aug-98,-67.60269444,62.87380556,Mawson,Fuel usage,100,,litres
Aug-98,-68.57661111,77.96738889,Davis,Fuel usage,410,,litres
Aug-98,-66.28180556,110.5276111,Casey,Fuel usage,818,,litres
Aug-98,-54.61988889,158.861,Macquarie Island,Fuel usage,118,,litres
Sep-98,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres
Sep-98,-68.57661111,77.96738889,Davis,Fuel usage,920,,litres
Sep-98,-66.28180556,110.5276111,Casey,Fuel usage,130,,litres
Sep-98,-54.61988889,158.861,Macquarie Island,Fuel usage,152,,litres
Oct-98,-67.60269444,62.87380556,Mawson,Fuel usage,550,,litres
Oct-98,-68.57661111,77.96738889,Davis,Fuel usage,380,,litres
Oct-98,-66.28180556,110.5276111,Casey,Fuel usage,846,,litres
Oct-98,-54.61988889,158.861,Macquarie Island,Fuel usage,176,,litres
Nov-98,-67.60269444,62.87380556,Mawson,Fuel usage,2000,,litres
Nov-98,-68.57661111,77.96738889,Davis,Fuel usage,2400,,litres
Nov-98,-66.28180556,110.5276111,Casey,Fuel usage,6031,,litres
Nov-98,-54.61988889,158.861,Macquarie Island,Fuel usage,354,,litres
Dec-98,-67.60269444,62.87380556,Mawson,Fuel usage,1050,,litres
Dec-98,-68.57661111,77.96738889,Davis,Fuel usage,1600,,litres
Dec-98,-66.28180556,110.5276111,Casey,Fuel usage,3528,,litres
Dec-98,-54.61988889,158.861,Macquarie Island,Fuel usage,103,,litres
Jan-99,-67.60269444,62.87380556,Mawson,Fuel usage,1900,,litres
Jan-99,-68.57661111,77.96738889,Davis,Fuel usage,1200,,litres
Jan-99,-66.28180556,110.5276111,Casey,Fuel usage,3688,,litres
Jan-99,-54.61988889,158.861,Macquarie Island,Fuel usage,138,,litres
Feb-99,-67.60269444,62.87380556,Mawson,Fuel usage,1400,,litres
Feb-99,-68.57661111,77.96738889,Davis,Fuel usage,2200,,litres
Feb-99,-66.28180556,110.5276111,Casey,Fuel usage,3354,,litres
Feb-99,-54.61988889,158.861,Macquarie Island,Fuel usage,221,,litres
Mar-99,-67.60269444,62.87380556,Mawson,Fuel usage,1800,,litres
Mar-99,-68.57661111,77.96738889,Davis,Fuel usage,1400,,litres
Mar-99,-66.28180556,110.5276111,Casey,Fuel usage,2970,,litres
Mar-99,-54.61988889,158.861,Macquarie Island,Fuel usage,155,,litres
Apr-99,-67.60269444,62.87380556,Mawson,Fuel usage,50,,litres
Apr-99,-68.57661111,77.96738889,Davis,Fuel usage,600,,litres
Apr-99,-66.28180556,110.5276111,Casey,Fuel usage,1353,,litres
Apr-99,-54.61988889,158.861,Macquarie Island,Fuel usage,260,,litres
May-99,-67.60269444,62.87380556,Mawson,Fuel usage,250,,litres
May-99,-68.57661111,77.96738889,Davis,Fuel usage,600,,litres
May-99,-66.28180556,110.5276111,Casey,Fuel usage,424,,litres
May-99,-54.61988889,158.861,Macquarie Island,Fuel usage,85,,litres
Jun-99,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
Jun-99,-68.57661111,77.96738889,Davis,Fuel usage,200,,litres
Jun-99,-66.28180556,110.5276111,Casey,Fuel usage,276,,litres
Jun-99,-54.61988889,158.861,Macquarie Island,Fuel usage,53,,litres
Jul-99,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Jul-99,-68.57661111,77.96738889,Davis,Fuel usage,500,,litres
Jul-99,-66.28180556,110.5276111,Casey,Fuel usage,251,,litres
Jul-99,-54.61988889,158.861,Macquarie Island,Fuel usage,212,,litres
Aug-99,-67.60269444,62.87380556,Mawson,Fuel usage,1400,,litres
Aug-99,-68.57661111,77.96738889,Davis,Fuel usage,,,litres
Aug-99,-66.28180556,110.5276111,Casey,Fuel usage,176,,litres
Aug-99,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres
Sep-99,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Sep-99,-68.57661111,77.96738889,Davis,Fuel usage,600,,litres
Sep-99,-66.28180556,110.5276111,Casey,Fuel usage,505,,litres
Sep-99,-54.61988889,158.861,Macquarie Island,Fuel usage,99,,litres
Oct-99,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres
Oct-99,-68.57661111,77.96738889,Davis,Fuel usage,3400,,litres
Oct-99,-66.28180556,110.5276111,Casey,Fuel usage,1261,,litres
Oct-99,-54.61988889,158.861,Macquarie Island,Fuel usage,130,,litres
Nov-99,-67.60269444,62.87380556,Mawson,Fuel usage,1600,,litres
Nov-99,-68.57661111,77.96738889,Davis,Fuel usage,1360,,litres
Nov-99,-66.28180556,110.5276111,Casey,Fuel usage,1422,,litres
Nov-99,-54.61988889,158.861,Macquarie Island,Fuel usage,323,,litres
Dec-99,-67.60269444,62.87380556,Mawson,Fuel usage,1500,,litres
Dec-99,-68.57661111,77.96738889,Davis,Fuel usage,2000,,litres
Dec-99,-66.28180556,110.5276111,Casey,Fuel usage,3346,,litres
Dec-99,-54.61988889,158.861,Macquarie Island,Fuel usage,243,,litres
Jan-00,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Jan-00,-68.57661111,77.96738889,Davis,Fuel usage,1590,,litres
Jan-00,-66.28180556,110.5276111,Casey,Fuel usage,5692,,litres
Jan-00,-54.61988889,158.861,Macquarie Island,Fuel usage,252,,litres
Feb-00,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
Feb-00,-68.57661111,77.96738889,Davis,Fuel usage,1129,,litres
Feb-00,-66.28180556,110.5276111,Casey,Fuel usage,5702,,litres
Feb-00,-54.61988889,158.861,Macquarie Island,Fuel usage,141,,litres
Mar-00,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
Mar-00,-68.57661111,77.96738889,Davis,Fuel usage,1145,,litres
Mar-00,-66.28180556,110.5276111,Casey,Fuel usage,1609,,litres
Mar-00,-54.61988889,158.861,Macquarie Island,Fuel usage,449,,litres
Apr-00,-67.60269444,62.87380556,Mawson,Fuel usage,346,,litres
Apr-00,-68.57661111,77.96738889,Davis,Fuel usage,441,,litres
Apr-00,-66.28180556,110.5276111,Casey,Fuel usage,1271,,litres
Apr-00,-54.61988889,158.861,Macquarie Island,Fuel usage,52,,litres
May-00,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres
May-00,-68.57661111,77.96738889,Davis,Fuel usage,781,,litres
May-00,-66.28180556,110.5276111,Casey,Fuel usage,1559,,litres
May-00,-54.61988889,158.861,Macquarie Island,Fuel usage,161,,litres
