Date,Parameter,Value,Unit of measure
Aug-00,Fuel usage,57875.0,litres
Aug-00,Fuel usage,55953.0,litres
Aug-00,Fuel usage,54219.0,litres
Aug-00,Fuel usage,19000.0,litres
Sep-00,Fuel usage,54752.0,litres
Sep-00,Fuel usage,52834.0,litres
Sep-00,Fuel usage,47712.0,litres
Sep-00,Fuel usage,16742.0,litres
Oct-00,Fuel usage,55574.0,litres
Oct-00,Fuel usage,55165.0,litres
Oct-00,Fuel usage,50721.0,litres
Oct-00,Fuel usage,17038.0,litres
Nov-00,Fuel usage,45786.0,litres
Nov-00,Fuel usage,44475.0,litres
Nov-00,Fuel usage,44470.0,litres
Nov-00,Fuel usage,16855.0,litres
Dec-00,Fuel usage,39528.0,litres
Dec-00,Fuel usage,43226.0,litres
Dec-00,Fuel usage,43956.0,litres
Dec-00,Fuel usage,16534.0,litres
Jan-01,Fuel usage,36831.0,litres
Jan-01,Fuel usage,43567.0,litres
Jan-01,Fuel usage,43911.0,litres
Jan-01,Fuel usage,16244.0,litres
Feb-01,Fuel usage,39571.0,litres
Feb-01,Fuel usage,42737.0,litres
Feb-01,Fuel usage,41548.0,litres
Feb-01,Fuel usage,15259.0,litres
Mar-01,Fuel usage,45127.0,litres
Mar-01,Fuel usage,49131.0,litres
Mar-01,Fuel usage,48104.0,litres
Mar-01,Fuel usage,16403.0,litres
Apr-01,Fuel usage,52466.0,litres
Apr-01,Fuel usage,56161.0,litres
Apr-01,Fuel usage,49498.0,litres
Apr-01,Fuel usage,16343.0,litres
May-01,Fuel usage,53685.0,litres
May-01,Fuel usage,58519.0,litres
May-01,Fuel usage,50215.0,litres
May-01,Fuel usage,17675.0,litres
Jun-01,Fuel usage,53264.0,litres
Jun-01,Fuel usage,58213.0,litres
Jun-01,Fuel usage,50867.0,litres
Jun-01,Fuel usage,17826.0,litres
Jul-01,Fuel usage,56715.0,litres
Jul-01,Fuel usage,55581.0,litres
Jul-01,Fuel usage,51560.0,litres
Jul-01,Fuel usage,19102.0,litres
Aug-01,Fuel usage,59503.0,litres
Aug-01,Fuel usage,58376.0,litres
Aug-01,Fuel usage,52516.0,litres
Aug-01,Fuel usage,19672.0,litres
Sep-01,Fuel usage,54855.0,litres
Sep-01,Fuel usage,49214.0,litres
Sep-01,Fuel usage,49496.0,litres
Sep-01,Fuel usage,16944.0,litres
Oct-01,Fuel usage,50538.0,litres
Oct-01,Fuel usage,46430.0,litres
Oct-01,Fuel usage,50344.0,litres
Oct-01,Fuel usage,18799.0,litres
Nov-01,Fuel usage,42353.0,litres
Nov-01,Fuel usage,41412.0,litres
Nov-01,Fuel usage,46611.0,litres
Nov-01,Fuel usage,18120.0,litres
Dec-01,Fuel usage,40945.0,litres
Dec-01,Fuel usage,45885.0,litres
Dec-01,Fuel usage,46590.0,litres
Dec-01,Fuel usage,18724.0,litres
Jan-02,Fuel usage,37370.0,litres
Jan-02,Fuel usage,43589.0,litres
Jan-02,Fuel usage,36995.0,litres
Jan-02,Fuel usage,16945.0,litres
Feb-02,Fuel usage,37502.0,litres
Feb-02,Fuel usage,42613.0,litres
Feb-02,Fuel usage,34684.0,litres
Feb-02,Fuel usage,14032.0,litres
Mar-02,Fuel usage,47340.0,litres
