??,??,??,??,??????,????????,????
05-03-2019 7.00,104,-1.87,0.002,129.205,350.586,620.584
05-03-2019 8.00,105,-0.21,0.002,237.792,540.295,977.503
05-03-2019 9.00,106,1.945,0.002,326.692,685.341,1314.547
05-03-2019 10.00,107,3.816,0.002,383.793,775.859,1406.578
05-03-2019 11.00,108,4.331,0.002,402.254,805.688,1550.341
05-03-2019 12.00,109,4.029,0.002,384.028,772.818,903.774
05-03-2019 13.00,110,3.355,0.002,330.505,679.517,594.264
05-03-2019 14.00,111,2.523,0.003,247.479,532.15,359.772
05-03-2019 15.00,112,1.454,0.003,142.239,340.79,185.858
05-03-2019 16.00,113,0.164,0.002,41.264,120.631,29.289
05-03-2019 17.00,114,-0.954,0.002,0.426,1.891,0
05-03-2019 18.00,115,-1.333,0.002,0,0,0
05-03-2019 19.00,116,-1.622,0.002,0,0,0
05-03-2019 20.00,117,-2.32,0.002,0,0,0
05-03-2019 21.00,118,-3.114,0.002,0,0,0
05-03-2019 22.00,119,-4.028,0.002,0,0,0
05-03-2019 23.00,120,-5.211,0.002,0,0,0
06-03-2019 0.00,121,-6.602,0.002,0,0,0
06-03-2019 1.00,122,-7.984,0.002,0,0,0
06-03-2019 2.00,123,-9.174,0.002,0,0,0
06-03-2019 3.00,124,-10.263,0.002,0,0,0
06-03-2019 4.00,125,-11.143,0.002,0,0,0
06-03-2019 5.00,126,-11.659,0.002,1.299,5.09,0
06-03-2019 6.00,127,-10.991,0.002,63.313,137.67,1494.065
06-03-2019 7.00,128,-8.784,0.002,224.012,357.587,3268.052
06-03-2019 8.00,129,-6.079,0.002,389.043,547.334,4210.606
06-03-2019 9.00,130,-3.468,0.002,521.566,692.426,4363.088
06-03-2019 10.00,131,-1.509,0.002,604.684,782.955,4379.374
06-03-2019 11.00,132,-0.159,0.002,633.608,812.787,4238.658
06-03-2019 12.00,133,0.612,0.002,604.89,779.918,4191.274
06-03-2019 13.00,134,0.894,0.002,521.669,686.604,3953.338
06-03-2019 14.00,135,0.665,0.002,391.859,539.19,3522.097
06-03-2019 15.00,136,-0.13,0.002,229.766,347.793,2680.447
06-03-2019 16.00,137,-2.607,0.002,67.427,127.134,999.61
06-03-2019 17.00,138,-5.805,0.002,0.773,2.508,0
06-03-2019 18.00,139,-6.751,0.002,0,0,0
06-03-2019 19.00,140,-7.504,0.002,0,0,0
06-03-2019 20.00,141,-8.136,0.002,0,0,0
06-03-2019 21.00,142,-8.768,0.002,0,0,0
06-03-2019 22.00,143,-9.342,0.002,0,0,0
06-03-2019 23.00,144,-9.826,0.002,0,0,0
07-03-2019 0.00,145,-10.168,0.002,0,0,0
07-03-2019 1.00,146,-10.263,0.002,0,0,0
07-03-2019 2.00,147,-10.375,0.002,0,0,0
07-03-2019 3.00,148,-10.475,0.002,0,0,0
07-03-2019 4.00,149,-10.678,0.002,0,0,0
07-03-2019 5.00,150,-10.749,0.002,1.827,6.052,21.398
07-03-2019 6.00,151,-9.353,0.002,71.688,144.227,2508.238
07-03-2019 7.00,152,-5.701,0.002,231.649,364.591,3628.185
07-03-2019 8.00,153,-2.296,0.002,396.675,554.374,4074.976
07-03-2019 9.00,154,0.585,0.002,524.511,699.473,4243.314
07-03-2019 10.00,155,2.037,0.002,604.479,790.027,4286.429
07-03-2019 11.00,156,3.071,0.002,635.408,819.853,4157.389
07-03-2019 12.00,157,3.768,0.002,606.39,786.991,4123.221
07-03-2019 13.00,158,4.013,0.002,524.625,693.654,3899.45
07-03-2019 14.00,159,3.757,0.002,394.313,546.227,3481.646
07-03-2019 15.00,160,2.776,0.002,232.055,354.795,2612.509
07-03-2019 16.00,161,-0.684,0.003,69.966,133.724,906.312
07-03-2019 17.00,162,-3.155,0.002,1.037,3.252,0
07-03-2019 18.00,163,-3.991,0.002,0,0,0
07-03-2019 19.00,164,-4.893,0.002,0,0,0
07-03-2019 20.00,165,-5.673,0.002,0,0,0
07-03-2019 21.00,166,-6.454,0.002,0,0,0
07-03-2019 22.00,167,-7.171,0.002,0,0,0
07-03-2019 23.00,168,-7.694,0.002,0,0,0
08-03-2019 0.00,169,-8.072,0.002,0,0,0
08-03-2019 1.00,170,-8.19,0.002,0,0,0
08-03-2019 2.00,171,-8.474,0.002,0,0,0
08-03-2019 3.00,172,-8.893,0.002,0,0,0
08-03-2019 4.00,173,-9.431,0.002,0,0,0
08-03-2019 5.00,174,-9.85,0.002,2.452,7.136,11.025
08-03-2019 6.00,175,-7.986,0.002,74.845,150.873,2377.201
08-03-2019 7.00,176,-3.409,0.002,214.294,371.596,3465.339
08-03-2019 8.00,177,-0.146,0.002,345.356,561.406,3766.668
08-03-2019 9.00,178,3.091,0.002,445.102,706.526,3973.212
08-03-2019 10.00,179,4.812,0.002,502.876,797.083,3788.213
08-03-2019 11.00,180,5.717,0.002,513.773,826.925,3276.2
08-03-2019 12.00,181,6.081,0.002,475.789,794.045,2636.488
08-03-2019 13.00,182,5.968,0.002,395.01,700.703,1971.016
08-03-2019 14.00,183,5.168,0.003,284.308,553.248,1075.733
08-03-2019 15.00,184,3.448,0.003,157.983,361.792,513.202
08-03-2019 16.00,185,1.197,0.003,45.822,140.385,207.17
08-03-2019 17.00,186,-0.831,0.003,0.849,4.133,0
08-03-2019 18.00,187,-0.776,0.003,0,0,0
08-03-2019 19.00,188,-0.507,0.003,0,0,0
08-03-2019 20.00,189,-0.593,0.003,0,0,0
08-03-2019 21.00,190,-1.064,0.003,0,0,0
