??,??,????,??,????
23-06-2019 20.00,549,1.161,4.416,420.407
23-06-2019 21.00,550,1.159,5.384,797.555
23-06-2019 22.00,551,1.153,6.134,1177.912
23-06-2019 23.00,552,1.144,6.635,1472.497
24-06-2019 0.00,553,1.138,6.886,1633.322
24-06-2019 1.00,554,1.133,6.898,1638.735
24-06-2019 2.00,555,1.128,6.587,1444.539
24-06-2019 3.00,556,1.124,6.255,1248.834
24-06-2019 4.00,557,1.121,5.452,833.042
24-06-2019 5.00,558,1.119,3.846,253.937
24-06-2019 6.00,559,1.118,3.84,252.517
24-06-2019 7.00,560,1.118,4.587,477.088
24-06-2019 8.00,561,1.118,6.087,1153.623
24-06-2019 9.00,562,1.121,7.564,2079.895
24-06-2019 10.00,563,1.126,8.718,2868.772
24-06-2019 11.00,564,1.131,9.156,3152.262
24-06-2019 12.00,565,1.136,8.808,2928.038
24-06-2019 13.00,566,1.141,8.23,2538.212
24-06-2019 14.00,567,1.145,8.036,2407.302
24-06-2019 15.00,568,1.148,8.088,2441.754
24-06-2019 16.00,569,1.15,7.721,2187.88
24-06-2019 17.00,570,1.152,7.757,2217.426
24-06-2019 18.00,571,1.154,8.913,2997.057
24-06-2019 19.00,572,1.155,9.38,3286.91
24-06-2019 20.00,573,1.156,9.264,3220.4
24-06-2019 21.00,574,1.156,8.895,2986.597
24-06-2019 22.00,575,1.153,9.584,3410.985
24-06-2019 23.00,576,1.148,9.281,3227.052
25-06-2019 0.00,577,1.143,8.477,2706.37
25-06-2019 1.00,578,1.139,8.313,2596.73
25-06-2019 2.00,579,1.135,8.251,2553.604
25-06-2019 3.00,580,1.132,8.087,2441.739
25-06-2019 4.00,581,1.129,7.11,1775.227
25-06-2019 5.00,582,1.127,4.598,480.972
25-06-2019 6.00,583,1.126,4.825,563.541
25-06-2019 7.00,584,1.125,6.39,1324.511
25-06-2019 8.00,585,1.126,7.158,1808.17
25-06-2019 9.00,586,1.129,7.855,2283.26
25-06-2019 10.00,587,1.132,8.911,2994.069
25-06-2019 11.00,588,1.137,9.778,3517.235
25-06-2019 12.00,589,1.14,10.554,3906.843
25-06-2019 13.00,590,1.143,11.16,4154.512
25-06-2019 14.00,591,1.146,11.298,4203.981
25-06-2019 15.00,592,1.147,10.706,3973.551
25-06-2019 16.00,593,1.149,9.753,3503.349
25-06-2019 17.00,594,1.15,10.027,3651.052
25-06-2019 18.00,595,1.151,9.807,3533.37
25-06-2019 19.00,596,1.152,8.399,2659.049
25-06-2019 20.00,597,1.153,8.453,2689.815
25-06-2019 21.00,598,1.153,8.451,2688.394
25-06-2019 22.00,599,1.15,7.966,2356.038
25-06-2019 23.00,600,1.146,7.216,1845.224
26-06-2019 0.00,601,1.142,6.316,1281.411
26-06-2019 1.00,602,1.138,6.093,1156.844
26-06-2019 2.00,603,1.135,6.508,1394.822
26-06-2019 3.00,604,1.132,7.441,2002.412
26-06-2019 4.00,605,1.129,9.062,3090.716
26-06-2019 5.00,606,1.128,8.296,2586.714
26-06-2019 6.00,607,1.128,7.162,1810.488
26-06-2019 7.00,608,1.129,7.479,2022.283
26-06-2019 8.00,609,1.131,8.15,2489.684
26-06-2019 9.00,610,1.135,8.244,2551.594
26-06-2019 10.00,611,1.139,8.014,2393.512
26-06-2019 11.00,612,1.144,8.622,2803.515
26-06-2019 12.00,613,1.148,9.119,3126.553
26-06-2019 13.00,614,1.152,8.771,2903.222
26-06-2019 14.00,615,1.155,7.78,2234.689
26-06-2019 15.00,616,1.157,7.077,1757.967
26-06-2019 16.00,617,1.159,7.42,1988.825
26-06-2019 17.00,618,1.161,7.52,2050.362
26-06-2019 18.00,619,1.162,6.855,1613.082
26-06-2019 19.00,620,1.164,6.582,1444.395
26-06-2019 20.00,621,1.165,7.389,1967.808
26-06-2019 21.00,622,1.165,7.101,1774.984
26-06-2019 22.00,623,1.162,6.169,1202.543
26-06-2019 23.00,624,1.158,6.194,1214.947
27-06-2019 0.00,625,1.154,6.784,1565.25
27-06-2019 1.00,626,1.151,6.948,1670.896
27-06-2019 2.00,627,1.148,6.668,1497.515
27-06-2019 3.00,628,1.145,6.609,1456.863
27-06-2019 4.00,629,1.144,6.652,1482.849
27-06-2019 5.00,630,1.143,6.481,1384.267
27-06-2019 6.00,631,1.144,6.973,1685.786
27-06-2019 7.00,632,1.145,7.305,1904.745
27-06-2019 8.00,633,1.147,7.463,2011.533
27-06-2019 9.00,634,1.15,7.337,1928.236
27-06-2019 10.00,635,1.154,7.175,1821.317
27-06-2019 11.00,636,1.157,6.957,1679.519
27-06-2019 12.00,637,1.16,6.719,1524.871
27-06-2019 13.00,638,1.163,6.611,1458.296
27-06-2019 14.00,639,1.165,7.228,1853.397
27-06-2019 15.00,640,1.166,8.509,2734.451
27-06-2019 16.00,641,1.167,9.583,3411.027
27-06-2019 17.00,642,1.168,9.553,3389.664
27-06-2019 18.00,643,1.169,8.795,2921.341
27-06-2019 19.00,644,1.17,8.818,2933.57
27-06-2019 20.00,645,1.171,8.465,2698.226
27-06-2019 21.00,646,1.171,7.96,2352.424
27-06-2019 22.00,647,1.167,7.204,1837.533
27-06-2019 23.00,648,1.164,6.441,1359.936
28-06-2019 0.00,649,1.16,6.083,1153.495
28-06-2019 1.00,650,1.157,5.898,1050.33
28-06-2019 2.00,651,1.153,5.851,1025.429
28-06-2019 3.00,652,1.151,5.222,725.275
28-06-2019 4.00,653,1.149,4.866,581.796
28-06-2019 5.00,654,1.148,4.356,399.747
28-06-2019 6.00,655,1.148,4.527,458.33
28-06-2019 7.00,656,1.149,4.57,470.897
28-06-2019 8.00,657,1.15,5.018,639.761
28-06-2019 9.00,658,1.152,5.234,730.672
28-06-2019 10.00,659,1.154,5.015,638.29
28-06-2019 11.00,660,1.156,4.951,612.557
28-06-2019 12.00,661,1.158,4.846,571.663
28-06-2019 13.00,662,1.16,5.44,823.263
28-06-2019 14.00,663,1.161,6.358,1307.066
28-06-2019 15.00,664,1.163,6.61,1457.334
28-06-2019 16.00,665,1.164,6.621,1468.878
28-06-2019 17.00,666,1.165,7.423,1988.881
28-06-2019 18.00,667,1.166,8.225,2534.183
28-06-2019 19.00,668,1.167,8.687,2851.038
28-06-2019 20.00,669,1.168,8.975,3034.945
28-06-2019 21.00,670,1.167,9.027,3072.639
28-06-2019 22.00,671,1.164,8.47,2701.349
28-06-2019 23.00,672,1.16,7.577,2093.417
29-06-2019 0.00,673,1.155,6.338,1295.393
29-06-2019 1.00,674,1.151,5.989,1099.178
29-06-2019 2.00,675,1.147,5.652,925.042
29-06-2019 3.00,676,1.144,5.153,695.803
29-06-2019 4.00,677,1.142,4.663,506.178
29-06-2019 5.00,678,1.141,4.01,297.273
29-06-2019 6.00,679,1.14,4.499,446.663
29-06-2019 7.00,680,1.141,4.865,580.756
29-06-2019 8.00,681,1.143,5.145,692.397
29-06-2019 9.00,682,1.145,5.265,744.124
29-06-2019 10.00,683,1.148,5.04,652.33
29-06-2019 11.00,684,1.152,4.53,460.503
29-06-2019 12.00,685,1.156,3.887,266.666
29-06-2019 13.00,686,1.158,3.241,125.717
29-06-2019 14.00,687,1.16,2.385,24.563
29-06-2019 15.00,688,1.162,1.654,2.062
29-06-2019 16.00,689,1.163,1.738,2.893
29-06-2019 17.00,690,1.164,3.799,242.229
29-06-2019 18.00,691,1.165,5.787,997.253
29-06-2019 19.00,692,1.166,6.814,1583.971
29-06-2019 20.00,693,1.167,6.492,1389.871
29-06-2019 21.00,694,1.166,5.767,982.415
29-06-2019 22.00,695,1.163,5.75,973.731
29-06-2019 23.00,696,1.159,5.866,1033.348
30-06-2019 0.00,697,1.154,5.819,1009.073
30-06-2019 1.00,698,1.151,6.079,1152.201
30-06-2019 2.00,699,1.148,6.205,1220.215
30-06-2019 3.00,700,1.145,6.276,1258.445
30-06-2019 4.00,701,1.143,6.04,1126.304
30-06-2019 5.00,702,1.142,5.579,893.895
30-06-2019 6.00,703,1.141,5.663,930.436
30-06-2019 7.00,704,1.142,5.686,941.886
30-06-2019 8.00,705,1.143,5.726,961.462
30-06-2019 9.00,706,1.144,5.667,932.03
30-06-2019 10.00,707,1.146,5.663,930.335
30-06-2019 11.00,708,1.149,5.641,919.441
30-06-2019 12.00,709,1.151,5.707,957.03
30-06-2019 13.00,710,1.153,5.731,963.973
30-06-2019 14.00,711,1.155,5.408,808.424
30-06-2019 15.00,712,1.157,4.918,599.758
30-06-2019 16.00,713,1.159,4.832,566.539
30-06-2019 17.00,714,1.16,4.922,601.086
30-06-2019 18.00,715,1.162,5.292,760.367
30-06-2019 19.00,716,1.164,5.926,1064.764
30-06-2019 20.00,717,1.165,6.175,1203.701
30-06-2019 21.00,718,1.165,6.044,1130.675
30-06-2019 22.00,719,1.161,5.776,990.067
30-06-2019 23.00,720,1.155,5.758,978.069
01-07-2019 0.00,721,1.15,5.812,1005.396
01-07-2019 1.00,722,1.146,5.684,940.491
01-07-2019 2.00,723,1.142,5.721,959.385
01-07-2019 3.00,724,1.14,5.774,987.911
01-07-2019 4.00,725,1.138,5.46,836.995
01-07-2019 5.00,726,1.137,4.498,446.469
01-07-2019 6.00,727,1.137,3.849,254.76
01-07-2019 7.00,728,1.137,3.876,264.023
01-07-2019 8.00,729,1.138,4.162,340.43
01-07-2019 9.00,730,1.139,4.532,461.014
01-07-2019 10.00,731,1.141,4.895,590.594
01-07-2019 11.00,732,1.142,5.214,721.838
01-07-2019 12.00,733,1.145,5.316,771.12
01-07-2019 13.00,734,1.147,5.114,679.399
01-07-2019 14.00,735,1.149,4.503,448.213
01-07-2019 15.00,736,1.152,3.592,193.702
01-07-2019 16.00,737,1.155,2.903,73.351
01-07-2019 17.00,738,1.158,2.616,42.081
01-07-2019 18.00,739,1.161,2.33,21.785
01-07-2019 19.00,740,1.163,2.227,16.055
01-07-2019 20.00,741,1.164,2.139,12.38
01-07-2019 21.00,742,1.163,2.038,9.189
01-07-2019 22.00,743,1.159,1.96,7.028
01-07-2019 23.00,744,1.153,2.195,14.778
02-07-2019 0.00,745,1.148,2.905,73.613
02-07-2019 1.00,746,1.143,3.654,207.53
02-07-2019 2.00,747,1.14,4.345,396.295
02-07-2019 3.00,748,1.138,5.052,657.477
02-07-2019 4.00,749,1.136,5.408,808.738
02-07-2019 5.00,750,1.136,3.87,262.443
02-07-2019 6.00,751,1.135,3.551,184.815
02-07-2019 7.00,752,1.136,3.86,257.623
02-07-2019 8.00,753,1.137,4.28,378.816
02-07-2019 9.00,754,1.139,4.73,528.172
02-07-2019 10.00,755,1.142,5.28,754.545
02-07-2019 11.00,756,1.145,5.724,960.783
02-07-2019 12.00,757,1.148,5.943,1075.999
02-07-2019 13.00,758,1.151,5.603,900.744
02-07-2019 14.00,759,1.154,4.733,529.132
02-07-2019 15.00,760,1.156,3.888,266.914
02-07-2019 16.00,761,1.158,3.03,90.655
02-07-2019 17.00,762,1.16,3.083,98.502
02-07-2019 18.00,763,1.162,3.228,123.575
02-07-2019 19.00,764,1.163,3.194,116.973
02-07-2019 20.00,765,1.165,2.913,74.628
02-07-2019 21.00,766,1.164,2.454,29.723
02-07-2019 22.00,767,1.159,1.94,6.391
02-07-2019 23.00,768,1.153,1.921,5.951
03-07-2019 0.00,769,1.149,2.142,12.494
03-07-2019 1.00,770,1.145,2.055,9.709
03-07-2019 2.00,771,1.142,1.769,3.295
03-07-2019 3.00,772,1.139,1.822,4.184
03-07-2019 4.00,773,1.138,1.602,1.566
03-07-2019 5.00,774,1.137,2.063,9.951
03-07-2019 6.00,775,1.137,1.513,1.012
03-07-2019 7.00,776,1.138,1.663,2.129
03-07-2019 8.00,777,1.139,1.287,0.285
03-07-2019 9.00,778,1.141,0.77,0
03-07-2019 10.00,779,1.143,1.123,0.092
03-07-2019 11.00,780,1.146,1.508,0.987
03-07-2019 12.00,781,1.149,1.867,4.96
03-07-2019 13.00,782,1.151,2.222,15.822
03-07-2019 14.00,783,1.153,2.57,38.756
03-07-2019 15.00,784,1.155,2.683,48.426
03-07-2019 16.00,785,1.157,2.567,38.524
03-07-2019 17.00,786,1.159,2.239,16.6
03-07-2019 18.00,787,1.161,2.055,9.722
03-07-2019 19.00,788,1.163,2.071,10.235
03-07-2019 20.00,789,1.165,2.033,9.045
03-07-2019 21.00,790,1.165,1.802,3.881
03-07-2019 22.00,791,1.161,1.332,0.365
03-07-2019 23.00,792,1.154,1.078,0.059
04-07-2019 0.00,793,1.149,1.289,0.291
04-07-2019 1.00,794,1.146,1.545,1.228
04-07-2019 2.00,795,1.143,1.894,5.386
04-07-2019 3.00,796,1.14,2.229,16.133
04-07-2019 4.00,797,1.138,2.434,27.782
04-07-2019 5.00,798,1.137,1.374,0.488
04-07-2019 6.00,799,1.136,1.49,0.895
04-07-2019 7.00,800,1.136,1.44,0.687
04-07-2019 8.00,801,1.137,1.114,0.084
04-07-2019 9.00,802,1.138,0.649,0
04-07-2019 10.00,803,1.14,0.24,0
04-07-2019 11.00,804,1.144,0.704,0
04-07-2019 12.00,805,1.147,1.02,0.035
04-07-2019 13.00,806,1.15,1.288,0.29
04-07-2019 14.00,807,1.153,1.579,1.413
04-07-2019 15.00,808,1.156,1.859,4.728
04-07-2019 16.00,809,1.158,2.17,13.581
04-07-2019 17.00,810,1.16,2.556,37.582
04-07-2019 18.00,811,1.162,3.705,221.458
04-07-2019 19.00,812,1.163,5.255,739.72
04-07-2019 20.00,813,1.164,7.055,1738.893
04-07-2019 21.00,814,1.162,8.325,2609.541
04-07-2019 22.00,815,1.158,8.248,2551.615
04-07-2019 23.00,816,1.152,7.694,2169.432
05-07-2019 0.00,817,1.147,6.929,1658.021
05-07-2019 1.00,818,1.143,6.912,1647.976
05-07-2019 2.00,819,1.14,6.842,1603.38
05-07-2019 3.00,820,1.138,6.581,1444.356
05-07-2019 4.00,821,1.136,6.712,1524.661
05-07-2019 5.00,822,1.135,7.064,1745.181
05-07-2019 6.00,823,1.135,6.808,1580.2
05-07-2019 7.00,824,1.136,6.837,1600.409
05-07-2019 8.00,825,1.138,8.375,2637.242
05-07-2019 9.00,826,1.139,8.703,2859.836
05-07-2019 10.00,827,1.142,8.768,2901.769
05-07-2019 11.00,828,1.144,9.022,3066.49
05-07-2019 12.00,829,1.147,8.585,2782.207
05-07-2019 13.00,830,1.149,7.537,2063.725
05-07-2019 14.00,831,1.151,7.099,1773.373
05-07-2019 15.00,832,1.153,6.303,1274.125
05-07-2019 16.00,833,1.154,6.037,1126.214
05-07-2019 17.00,834,1.156,6.141,1181.752
05-07-2019 18.00,835,1.157,6.699,1512.434
05-07-2019 19.00,836,1.159,7.303,1903.685
05-07-2019 20.00,837,1.16,7.317,1912.795
05-07-2019 21.00,838,1.159,7.348,1938.521
05-07-2019 22.00,839,1.156,7.615,2118.205
05-07-2019 23.00,840,1.151,7.692,2167.489
06-07-2019 0.00,841,1.145,6.938,1668.512
06-07-2019 1.00,842,1.14,6.613,1460.04
06-07-2019 2.00,843,1.136,6.646,1478.91
06-07-2019 3.00,844,1.132,6.797,1573.557
06-07-2019 4.00,845,1.129,6.641,1475.726
06-07-2019 5.00,846,1.127,5.699,952.741
06-07-2019 6.00,847,1.126,5.198,717.863
06-07-2019 7.00,848,1.125,4.972,621.268
06-07-2019 8.00,849,1.126,4.738,530.975
06-07-2019 9.00,850,1.128,5.003,633.41
06-07-2019 10.00,851,1.131,5.18,707.309
06-07-2019 11.00,852,1.136,5.494,848.66
06-07-2019 12.00,853,1.14,5.739,968.168
06-07-2019 13.00,854,1.145,5.78,994.025
06-07-2019 14.00,855,1.149,5.533,871.767
06-07-2019 15.00,856,1.152,4.912,597.158
06-07-2019 16.00,857,1.154,4.52,453.852
06-07-2019 17.00,858,1.156,3.86,257.558
06-07-2019 18.00,859,1.158,2.79,60.636
06-07-2019 19.00,860,1.16,3.29,133.002
06-07-2019 20.00,861,1.161,5.385,797.847
06-07-2019 21.00,862,1.16,7.268,1881.332
06-07-2019 22.00,863,1.155,8.256,2559.439
06-07-2019 23.00,864,1.148,8.277,2574.988
07-07-2019 0.00,865,1.142,8.048,2418.617
07-07-2019 1.00,866,1.136,7.573,2088.958
07-07-2019 2.00,867,1.132,7.286,1894.651
07-07-2019 3.00,868,1.128,7.171,1821.217
07-07-2019 4.00,869,1.126,6.142,1182.66
07-07-2019 5.00,870,1.124,4.087,318.604
07-07-2019 6.00,871,1.124,3.562,187.134
07-07-2019 7.00,872,1.124,3.652,207.14
07-07-2019 8.00,873,1.125,3.279,131.052
07-07-2019 9.00,874,1.127,2.633,43.608
07-07-2019 10.00,875,1.13,1.981,7.37
07-07-2019 11.00,876,1.133,1.612,1.66
07-07-2019 12.00,877,1.136,1.464,0.779
07-07-2019 13.00,878,1.14,1.465,0.783
07-07-2019 14.00,879,1.143,1.613,1.677
07-07-2019 15.00,880,1.146,1.893,5.376
07-07-2019 16.00,881,1.148,2.269,18.071
07-07-2019 17.00,882,1.15,2.635,43.8
07-07-2019 18.00,883,1.152,2.983,84.816
07-07-2019 19.00,884,1.154,3.618,200.905
07-07-2019 20.00,885,1.155,4.145,338.251
07-07-2019 21.00,886,1.155,4.623,492.923
07-07-2019 22.00,887,1.15,4.98,624.298
07-07-2019 23.00,888,1.141,5.364,788.515
08-07-2019 0.00,889,1.135,5.674,935.883
08-07-2019 1.00,890,1.13,5.908,1055.437
08-07-2019 2.00,891,1.127,6.069,1142.405
08-07-2019 3.00,892,1.124,6.253,1246.615
08-07-2019 4.00,893,1.122,6.024,1119.911
08-07-2019 5.00,894,1.121,5.018,639.693
08-07-2019 6.00,895,1.12,3.853,255.825
08-07-2019 7.00,896,1.12,3.718,224.556
08-07-2019 8.00,897,1.121,3.818,246.885
08-07-2019 9.00,898,1.123,3.66,209.071
08-07-2019 10.00,899,1.125,2.856,67.499
08-07-2019 11.00,900,1.129,2.763,56.705
08-07-2019 12.00,901,1.132,3.78,237.406
08-07-2019 13.00,902,1.135,4.336,393.59
08-07-2019 14.00,903,1.137,4.317,387.547
08-07-2019 15.00,904,1.139,4.069,313.548
08-07-2019 16.00,905,1.142,3.734,226.276
08-07-2019 17.00,906,1.144,3.392,152.188
08-07-2019 18.00,907,1.146,3.563,187.372
08-07-2019 19.00,908,1.148,4.143,337.417
08-07-2019 20.00,909,1.15,4.737,530.836
08-07-2019 21.00,910,1.149,5.289,758.844
08-07-2019 22.00,911,1.145,5.742,969.942
08-07-2019 23.00,912,1.136,6.041,1127.34
09-07-2019 0.00,913,1.13,6.063,1138.967
09-07-2019 1.00,914,1.127,5.796,1002.2
09-07-2019 2.00,915,1.124,5.489,846.27
09-07-2019 3.00,916,1.121,5.333,774.211
09-07-2019 4.00,917,1.119,4.984,625.98
09-07-2019 5.00,918,1.118,3.173,112.775
09-07-2019 6.00,919,1.117,1.761,3.185
09-07-2019 7.00,920,1.117,1.999,7.861
09-07-2019 8.00,921,1.118,2.603,40.962
09-07-2019 9.00,922,1.12,3.355,145.127
09-07-2019 10.00,923,1.123,4.103,323.313
09-07-2019 11.00,924,1.126,4.63,495.371
09-07-2019 12.00,925,1.13,5.007,635.16
09-07-2019 13.00,926,1.133,5.263,743.423
09-07-2019 14.00,927,1.137,5.343,779.14
09-07-2019 15.00,928,1.14,5.32,772.616
09-07-2019 16.00,929,1.143,5.305,766.007
09-07-2019 17.00,930,1.146,5.852,1026.369
09-07-2019 18.00,931,1.148,6.736,1540.743
09-07-2019 19.00,932,1.151,7.455,2006.092
09-07-2019 20.00,933,1.153,7.639,2137.991
09-07-2019 21.00,934,1.153,7.347,1937.251
09-07-2019 22.00,935,1.15,6.979,1689.503
09-07-2019 23.00,936,1.145,6.826,1595.051
10-07-2019 0.00,937,1.139,6.544,1416.519
10-07-2019 1.00,938,1.134,6.306,1276.001
10-07-2019 2.00,939,1.131,6.069,1142.365
10-07-2019 3.00,940,1.128,5.845,1022.272
10-07-2019 4.00,941,1.126,5.333,774.562
10-07-2019 5.00,942,1.125,4.596,480.168
10-07-2019 6.00,943,1.124,3.946,281.628
10-07-2019 7.00,944,1.124,3.792,240.448
10-07-2019 8.00,945,1.125,3.868,261.481
10-07-2019 9.00,946,1.128,4.08,316.817
10-07-2019 10.00,947,1.131,4.387,412.794
10-07-2019 11.00,948,1.135,4.593,478.969
10-07-2019 12.00,949,1.139,4.791,554.274
10-07-2019 13.00,950,1.143,5.016,638.87
10-07-2019 14.00,951,1.147,5.31,768.197
10-07-2019 15.00,952,1.151,5.637,917.319
10-07-2019 16.00,953,1.154,5.421,814.651
10-07-2019 17.00,954,1.156,4.771,543.695
10-07-2019 18.00,955,1.159,4.39,413.654
10-07-2019 19.00,956,1.161,5.716,958.545
10-07-2019 20.00,957,1.162,7.144,1804.167
10-07-2019 21.00,958,1.162,7.642,2140.483
10-07-2019 22.00,959,1.158,7.62,2124.466
10-07-2019 23.00,960,1.152,7.692,2167.524
11-07-2019 0.00,961,1.146,7.592,2101.14
11-07-2019 1.00,962,1.141,7.254,1872.605
11-07-2019 2.00,963,1.137,6.993,1703.129
11-07-2019 3.00,964,1.134,6.985,1697.169
11-07-2019 4.00,965,1.131,6.81,1581.785
11-07-2019 5.00,966,1.13,5.617,907.679
11-07-2019 6.00,967,1.129,4.277,377.215
11-07-2019 7.00,968,1.129,3.812,245.459
11-07-2019 8.00,969,1.129,3.902,270.218
11-07-2019 9.00,970,1.131,4.134,334.85
11-07-2019 10.00,971,1.134,4.536,462.512
11-07-2019 11.00,972,1.137,4.79,553.826
11-07-2019 12.00,973,1.14,4.895,590.512
11-07-2019 13.00,974,1.143,4.815,561.659
11-07-2019 14.00,975,1.145,4.592,478.548
11-07-2019 15.00,976,1.147,4.268,372.328
11-07-2019 16.00,977,1.149,3.942,279.547
11-07-2019 17.00,978,1.15,3.434,160.437
11-07-2019 18.00,979,1.152,3.688,215.58
11-07-2019 19.00,980,1.153,5.511,856.44
11-07-2019 20.00,981,1.154,6.743,1545.472
11-07-2019 21.00,982,1.154,6.981,1691.183
11-07-2019 22.00,983,1.15,6.972,1685.488
11-07-2019 23.00,984,1.143,6.833,1600.299
12-07-2019 0.00,985,1.138,6.61,1457.373
12-07-2019 1.00,986,1.134,6.433,1351.571
12-07-2019 2.00,987,1.13,6.355,1306.986
12-07-2019 3.00,988,1.128,6.251,1244.314
12-07-2019 4.00,989,1.125,5.662,929.669
12-07-2019 5.00,990,1.124,3.422,158.044
12-07-2019 6.00,991,1.123,2.377,24.07
12-07-2019 7.00,992,1.123,3.174,112.917
12-07-2019 8.00,993,1.124,3.078,97.789
12-07-2019 9.00,994,1.126,2.994,85.458
12-07-2019 10.00,995,1.128,3.019,89.085
12-07-2019 11.00,996,1.131,2.879,70.341
12-07-2019 12.00,997,1.134,2.553,37.323
12-07-2019 13.00,998,1.137,2.237,16.514
12-07-2019 14.00,999,1.14,1.94,6.391
12-07-2019 15.00,1000,1.142,1.826,4.204
12-07-2019 16.00,1001,1.144,1.901,5.534
12-07-2019 17.00,1002,1.146,2.548,36.916
12-07-2019 18.00,1003,1.148,4.186,347.484
12-07-2019 19.00,1004,1.15,6.09,1153.739
12-07-2019 20.00,1005,1.152,6.765,1556.1
12-07-2019 21.00,1006,1.152,6.407,1334.54
12-07-2019 22.00,1007,1.148,6.147,1185.551
12-07-2019 23.00,1008,1.142,5.965,1090.593
13-07-2019 0.00,1009,1.137,5.843,1021.665
13-07-2019 1.00,1010,1.133,5.638,918.037
13-07-2019 2.00,1011,1.13,5.55,879.89
13-07-2019 3.00,1012,1.128,5.605,901.951
13-07-2019 4.00,1013,1.127,5.143,691.332
13-07-2019 5.00,1014,1.126,3.689,215.773
13-07-2019 6.00,1015,1.126,2.944,79.025
13-07-2019 7.00,1016,1.126,3.37,149.603
13-07-2019 8.00,1017,1.127,3.811,245.228
13-07-2019 9.00,1018,1.129,4.181,346.13
13-07-2019 10.00,1019,1.132,4.529,459.938
13-07-2019 11.00,1020,1.135,4.79,554.076
13-07-2019 12.00,1021,1.138,4.965,618.209
13-07-2019 13.00,1022,1.141,5.026,645.259
13-07-2019 14.00,1023,1.144,4.955,614.194
13-07-2019 15.00,1024,1.146,4.945,610.285
13-07-2019 16.00,1025,1.148,4.991,628.702
13-07-2019 17.00,1026,1.15,5.102,674.351
13-07-2019 18.00,1027,1.152,6.32,1283.562
13-07-2019 19.00,1028,1.154,7.441,2002.399
13-07-2019 20.00,1029,1.155,7.357,1941.694
13-07-2019 21.00,1030,1.154,6.91,1645.793
13-07-2019 22.00,1031,1.15,6.55,1420.434
13-07-2019 23.00,1032,1.145,6.293,1268.513
14-07-2019 0.00,1033,1.142,6.118,1169.018
14-07-2019 1.00,1034,1.138,6.068,1141.664
14-07-2019 2.00,1035,1.135,6.139,1180.886
14-07-2019 3.00,1036,1.132,6.142,1182.386
14-07-2019 4.00,1037,1.13,5.431,819.243
14-07-2019 5.00,1038,1.129,4.495,445.573
14-07-2019 6.00,1039,1.128,5.346,780.336
14-07-2019 7.00,1040,1.129,5.688,942.861
14-07-2019 8.00,1041,1.13,5.852,1025.953
14-07-2019 9.00,1042,1.132,5.891,1046.644
14-07-2019 10.00,1043,1.135,5.869,1035.135
14-07-2019 11.00,1044,1.138,5.958,1087.102
14-07-2019 12.00,1045,1.141,6.328,1293.131
14-07-2019 13.00,1046,1.144,6.705,1518.55
14-07-2019 14.00,1047,1.147,6.908,1644.113
14-07-2019 15.00,1048,1.149,6.762,1556.002
14-07-2019 16.00,1049,1.15,6.442,1359.978
14-07-2019 17.00,1050,1.152,6.046,1133.033
14-07-2019 18.00,1051,1.153,6.027,1122.925
14-07-2019 19.00,1052,1.155,6.432,1350.695
14-07-2019 20.00,1053,1.156,6.5,1390.134
14-07-2019 21.00,1054,1.155,6.471,1373.735
14-07-2019 22.00,1055,1.151,6.293,1268.426
14-07-2019 23.00,1056,1.145,6.275,1257.802
15-07-2019 0.00,1057,1.14,6.233,1239.087
15-07-2019 1.00,1058,1.136,6.218,1226.411
15-07-2019 2.00,1059,1.133,6.07,1142.783
15-07-2019 3.00,1060,1.131,5.984,1099.02
15-07-2019 4.00,1061,1.13,5.358,785.878
15-07-2019 5.00,1062,1.129,4.672,506.99
15-07-2019 6.00,1063,1.129,4.721,524.854
15-07-2019 7.00,1064,1.13,4.714,522.493
15-07-2019 8.00,1065,1.132,4.963,617.401
15-07-2019 9.00,1066,1.134,5.136,688.712
15-07-2019 10.00,1067,1.136,5.204,719.994
15-07-2019 11.00,1068,1.139,5.038,651.595
15-07-2019 12.00,1069,1.142,4.594,479.395
15-07-2019 13.00,1070,1.144,4.323,389.259
15-07-2019 14.00,1071,1.147,4.314,386.577
15-07-2019 15.00,1072,1.149,4.606,483.535
15-07-2019 16.00,1073,1.151,4.802,558.445
15-07-2019 17.00,1074,1.153,4.637,497.948
15-07-2019 18.00,1075,1.154,5.472,838.349
15-07-2019 19.00,1076,1.156,6.656,1485.025
15-07-2019 20.00,1077,1.157,6.949,1670.921
15-07-2019 21.00,1078,1.156,6.909,1644.636
15-07-2019 22.00,1079,1.153,6.482,1384.767
15-07-2019 23.00,1080,1.147,6.104,1164.584
16-07-2019 0.00,1081,1.143,5.838,1018.791
16-07-2019 1.00,1082,1.139,5.706,956.109
16-07-2019 2.00,1083,1.136,5.645,921.345
16-07-2019 3.00,1084,1.134,5.503,852.584
16-07-2019 4.00,1085,1.132,5.095,671.361
16-07-2019 5.00,1086,1.131,4.06,311.138
16-07-2019 6.00,1087,1.13,3.422,157.972
16-07-2019 7.00,1088,1.13,3.505,175.898
16-07-2019 8.00,1089,1.131,4.322,389.019
16-07-2019 9.00,1090,1.133,5.136,688.414
16-07-2019 10.00,1091,1.135,5.905,1053.974
16-07-2019 11.00,1092,1.138,6.662,1490.631
16-07-2019 12.00,1093,1.14,7.048,1734.424
16-07-2019 13.00,1094,1.143,7.203,1836.766
