Indicator 57 Monthly incinerator fuel usage of Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Feb-98,-54.61988889,158.861,Macquarie Island,Fuel usage,1435,,litres,,
Mar-98,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Mar-98,-68.57661111,77.96738889,Davis,Fuel usage,450,,litres,,
Mar-98,-66.28180556,110.5276111,Casey,Fuel usage,1500,,litres,,
Mar-98,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Apr-98,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
Apr-98,-68.57661111,77.96738889,Davis,Fuel usage,475,,litres,,
Apr-98,-66.28180556,110.5276111,Casey,Fuel usage,2700,,litres,,
Apr-98,-54.61988889,158.861,Macquarie Island,Fuel usage,1062,,litres,,
May-98,-67.60269444,62.87380556,Mawson,Fuel usage,660,,litres,,
May-98,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres,,
May-98,-66.28180556,110.5276111,Casey,Fuel usage,1400,,litres,,
May-98,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Jun-98,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres,,
Jun-98,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Jun-98,-66.28180556,110.5276111,Casey,Fuel usage,1700,,litres,,
Jun-98,-54.61988889,158.861,Macquarie Island,Fuel usage,1110,,litres,,
Jul-98,-67.60269444,62.87380556,Mawson,Fuel usage,1670,,litres,,
Jul-98,-68.57661111,77.96738889,Davis,Fuel usage,300,,litres,,
Jul-98,-66.28180556,110.5276111,Casey,Fuel usage,1000,,litres,,
Jul-98,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Aug-98,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Aug-98,-68.57661111,77.96738889,Davis,Fuel usage,500,,litres,,
Aug-98,-66.28180556,110.5276111,Casey,Fuel usage,0,,litres,,
Aug-98,-54.61988889,158.861,Macquarie Island,Fuel usage,927,,litres,,
Sep-98,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
Sep-98,-68.57661111,77.96738889,Davis,Fuel usage,1150,,litres,,
Sep-98,-66.28180556,110.5276111,Casey,Fuel usage,1200,,litres,,
Sep-98,-54.61988889,158.861,Macquarie Island,Fuel usage,1013,,litres,,
Oct-98,-67.60269444,62.87380556,Mawson,Fuel usage,330,,litres,,
Oct-98,-68.57661111,77.96738889,Davis,Fuel usage,600,,litres,,
Oct-98,-66.28180556,110.5276111,Casey,Fuel usage,800,,litres,,
Oct-98,-54.61988889,158.861,Macquarie Island,Fuel usage,608,,litres,,
Nov-98,-67.60269444,62.87380556,Mawson,Fuel usage,770,,litres,,
Nov-98,-68.57661111,77.96738889,Davis,Fuel usage,700,,litres,,
Nov-98,-66.28180556,110.5276111,Casey,Fuel usage,1179,,litres,,
Nov-98,-54.61988889,158.861,Macquarie Island,Fuel usage,800,,litres,,
Dec-98,-67.60269444,62.87380556,Mawson,Fuel usage,3600,,litres,,
Dec-98,-68.57661111,77.96738889,Davis,Fuel usage,1000,,litres,,
Dec-98,-66.28180556,110.5276111,Casey,Fuel usage,1250,,litres,,
Dec-98,-54.61988889,158.861,Macquarie Island,Fuel usage,1324,,litres,,
Jan-99,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Jan-99,-68.57661111,77.96738889,Davis,Fuel usage,700,,litres,,
Jan-99,-66.28180556,110.5276111,Casey,Fuel usage,2250,,litres,,
Jan-99,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Feb-99,-67.60269444,62.87380556,Mawson,Fuel usage,450,,litres,,
Feb-99,-68.57661111,77.96738889,Davis,Fuel usage,1300,,litres,,
Feb-99,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
Feb-99,-54.61988889,158.861,Macquarie Island,Fuel usage,920,,litres,,
Mar-99,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
Mar-99,-68.57661111,77.96738889,Davis,Fuel usage,2400,,litres,,
Mar-99,-66.28180556,110.5276111,Casey,Fuel usage,2000,,litres,,
Mar-99,-54.61988889,158.861,Macquarie Island,Fuel usage,1016,,litres,,
Apr-99,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres,,
Apr-99,-68.57661111,77.96738889,Davis,Fuel usage,1900,,litres,,
Apr-99,-66.28180556,110.5276111,Casey,Fuel usage,0,,litres,,
Apr-99,-54.61988889,158.861,Macquarie Island,Fuel usage,1005,,litres,,
May-99,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
May-99,-68.57661111,77.96738889,Davis,Fuel usage,1200,,litres,,
May-99,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
May-99,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Jun-99,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres,,
Jun-99,-68.57661111,77.96738889,Davis,Fuel usage,500,,litres,,
Jun-99,-66.28180556,110.5276111,Casey,Fuel usage,600,,litres,,
Jun-99,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Jul-99,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
Jul-99,-68.57661111,77.96738889,Davis,Fuel usage,1850,,litres,,
Jul-99,-66.28180556,110.5276111,Casey,Fuel usage,500,,litres,,
Jul-99,-54.61988889,158.861,Macquarie Island,Fuel usage,972,,litres,,
Aug-99,-67.60269444,62.87380556,Mawson,Fuel usage,600,,litres,,
Aug-99,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Aug-99,-66.28180556,110.5276111,Casey,Fuel usage,800,,litres,,
Aug-99,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres,,
Sep-99,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres,,
Sep-99,-68.57661111,77.96738889,Davis,Fuel usage,750,,litres,,
Sep-99,-66.28180556,110.5276111,Casey,Fuel usage,550,,litres,,
Sep-99,-54.61988889,158.861,Macquarie Island,Fuel usage,985,,litres,,
Oct-99,-67.60269444,62.87380556,Mawson,Fuel usage,650,,litres,,
Oct-99,-68.57661111,77.96738889,Davis,Fuel usage,1650,,litres,,
Oct-99,-66.28180556,110.5276111,Casey,Fuel usage,500,,litres,,
Oct-99,-54.61988889,158.861,Macquarie Island,Fuel usage,0,,litres,,
Nov-99,-67.60269444,62.87380556,Mawson,Fuel usage,850,,litres,,
Nov-99,-68.57661111,77.96738889,Davis,Fuel usage,2900,,litres,,
Nov-99,-66.28180556,110.5276111,Casey,Fuel usage,750,,litres,,
Nov-99,-54.61988889,158.861,Macquarie Island,Fuel usage,1440,,litres,,
Dec-99,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres,,
Dec-99,-68.57661111,77.96738889,Davis,Fuel usage,2000,,litres,,
Dec-99,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
Dec-99,-54.61988889,158.861,Macquarie Island,Fuel usage,848,,litres,,
Jan-00,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
Jan-00,-68.57661111,77.96738889,Davis,Fuel usage,4000,,litres,,
Jan-00,-66.28180556,110.5276111,Casey,Fuel usage,900,,litres,,
Jan-00,-54.61988889,158.861,Macquarie Island,Fuel usage,755,,litres,,
