??,??,??,??,??????,????????,????
01-06-2019 0.00,1,6.224,0.007,0,0,0
01-06-2019 1.00,2,6.071,0.007,0,0,0
01-06-2019 2.00,3,6.173,0.006,0,0,0
01-06-2019 3.00,4,6.232,0.006,2.229,10.77,0
01-06-2019 4.00,5,7.108,0.007,49.79,158.093,123.096
01-06-2019 5.00,6,8.329,0.007,157.026,371.105,414.23
01-06-2019 6.00,7,10.444,0.007,308.848,583.704,1259.843
01-06-2019 7.00,8,13.464,0.007,463.889,781.357,2463.576
01-06-2019 8.00,9,15.554,0.006,587.988,950.638,3269.984
01-06-2019 9.00,10,16.779,0.006,667.27,1079.979,3523.963
01-06-2019 10.00,11,17.679,0.006,697.486,1160.613,3577.048
01-06-2019 11.00,12,18.161,0.006,690.683,1187.036,3417.618
01-06-2019 12.00,13,18.427,0.006,656.784,1157.468,3234.215
01-06-2019 13.00,14,18.546,0.006,591.716,1073.917,3046.396
01-06-2019 14.00,15,18.388,0.006,490.91,942.139,2610.458
01-06-2019 15.00,16,17.722,0.007,374.816,771.054,1546.145
01-06-2019 16.00,17,16.75,0.007,260.422,572.392,716.79
01-06-2019 17.00,18,15.777,0.008,146.29,359.662,674.14
01-06-2019 18.00,19,13.277,0.008,47.528,147.991,334.938
01-06-2019 19.00,20,11.308,0.007,3.465,14.224,0
01-06-2019 20.00,21,11.14,0.007,0,0.002,0
01-06-2019 21.00,22,10.346,0.007,0,0,0
01-06-2019 22.00,23,9.663,0.007,0,0,0
01-06-2019 23.00,24,9.58,0.007,0,0,0
02-06-2019 0.00,25,9.353,0.007,0,0,0
02-06-2019 1.00,26,9.248,0.007,0,0,0
02-06-2019 2.00,27,9.366,0.007,0,0,0
02-06-2019 3.00,28,9.291,0.007,2.024,11.517,0
02-06-2019 4.00,29,9.447,0.007,49.723,160.468,252.435
02-06-2019 5.00,30,10.556,0.007,158.877,373.213,1061.822
02-06-2019 6.00,31,12.594,0.008,308.57,585.527,2672.863
02-06-2019 7.00,32,15.258,0.008,461.931,782.934,3327.424
02-06-2019 8.00,33,17.332,0.008,597.906,951.989,3565.182
02-06-2019 9.00,34,18.7,0.008,701.659,1081.165,3606.945
02-06-2019 10.00,35,19.449,0.008,760.515,1161.68,3642.581
02-06-2019 11.00,36,19.584,0.008,772.469,1188.057,3571.898
02-06-2019 12.00,37,19.349,0.008,731.012,1158.535,3469.284
02-06-2019 13.00,38,19.029,0.008,652.787,1075.119,3319.971
02-06-2019 14.00,39,18.349,0.008,540.15,943.481,2825.412
02-06-2019 15.00,40,17.416,0.008,406.755,772.621,2367.504
02-06-2019 16.00,41,16.11,0.008,278.148,574.192,1300.726
02-06-2019 17.00,42,14.723,0.009,161.715,361.742,695.207
02-06-2019 18.00,43,12.658,0.009,58.963,150.244,401.902
02-06-2019 19.00,44,9.774,0.008,4.696,14.938,0
02-06-2019 20.00,45,8.771,0.008,0.001,0.004,0
02-06-2019 21.00,46,7.964,0.008,0,0,0
02-06-2019 22.00,47,7.367,0.008,0,0,0
02-06-2019 23.00,48,6.923,0.008,0,0,0
03-06-2019 0.00,49,6.737,0.007,0,0,0
03-06-2019 1.00,50,6.796,0.007,0,0,0
03-06-2019 2.00,51,6.936,0.007,0,0,0
03-06-2019 3.00,52,6.786,0.007,3.138,12.261,0
03-06-2019 4.00,53,7.784,0.007,64.86,162.737,382.025
03-06-2019 5.00,54,9.797,0.008,194.527,375.215,1695.966
03-06-2019 6.00,55,12.386,0.008,352.479,587.266,2657.624
03-06-2019 7.00,56,15.149,0.008,513.103,784.429,3486.801
03-06-2019 8.00,57,17.094,0.007,650.033,953.27,3777.686
03-06-2019 9.00,58,18.523,0.007,743.411,1082.293,3863.973
03-06-2019 10.00,59,19.699,0.007,790.642,1162.711,3889.153
03-06-2019 11.00,60,20.544,0.007,791.33,1189.066,3835.359
03-06-2019 12.00,61,20.906,0.007,759.099,1159.553,3643.514
03-06-2019 13.00,62,21.155,0.008,692.667,1076.221,3648.558
03-06-2019 14.00,63,21.008,0.008,588.93,944.739,3413.569
03-06-2019 15.00,64,20.412,0.008,460.385,774.097,2968.214
03-06-2019 16.00,65,19.624,0.008,315.404,575.907,2316.736
03-06-2019 17.00,66,18.593,0.009,172.074,363.705,1616.401
03-06-2019 18.00,67,15.544,0.009,58.696,152.396,548.203
03-06-2019 19.00,68,13.333,0.008,4.495,15.64,0
03-06-2019 20.00,69,12.185,0.008,0.001,0.006,0
03-06-2019 21.00,70,11.393,0.008,0,0,0
03-06-2019 22.00,71,10.795,0.008,0,0,0
03-06-2019 23.00,72,10.279,0.007,0,0,0
04-06-2019 0.00,73,9.752,0.007,0,0,0
04-06-2019 1.00,74,9.345,0.007,0,0,0
04-06-2019 2.00,75,9.104,0.007,0,0,0
04-06-2019 3.00,76,9.177,0.007,3.766,12.998,11.172
04-06-2019 4.00,77,10.3,0.008,70.985,164.893,1052.826
04-06-2019 5.00,78,13.171,0.008,205.795,377.121,2399.474
04-06-2019 6.00,79,15.857,0.008,363.181,588.908,3100.135
04-06-2019 7.00,80,18.497,0.008,515.758,785.837,3485.181
04-06-2019 8.00,81,19.891,0.008,650.034,954.47,3685.13
04-06-2019 9.00,82,20.965,0.008,753.132,1083.329,3771.962
04-06-2019 10.00,83,21.571,0.008,808.593,1163.656,3559.837
04-06-2019 11.00,84,22.328,0.008,809.143,1189.964,3789.691
04-06-2019 12.00,85,22.775,0.008,774.415,1160.522,3755.315
04-06-2019 13.00,86,22.883,0.008,710.488,1077.265,3649.648
04-06-2019 14.00,87,22.636,0.008,605.56,945.947,3438.327
04-06-2019 15.00,88,22.055,0.008,480.391,775.491,3077.853
04-06-2019 16.00,89,21.83,0.008,335.474,577.538,1840.968
04-06-2019 17.00,90,20.354,0.009,191.129,365.572,1321.836
04-06-2019 18.00,91,16.555,0.01,67.822,154.443,470.509
04-06-2019 19.00,92,13.902,0.009,5.525,16.329,0
04-06-2019 20.00,93,12.613,0.008,0.002,0.01,0
04-06-2019 21.00,94,11.762,0.008,0,0,0
04-06-2019 22.00,95,11.184,0.008,0,0,0
04-06-2019 23.00,96,10.867,0.008,0,0,0
05-06-2019 0.00,97,10.707,0.008,0,0,0
05-06-2019 1.00,98,10.606,0.008,0,0,0
05-06-2019 2.00,99,10.534,0.008,0,0,0
05-06-2019 3.00,100,10.444,0.008,4.301,13.723,10.306
05-06-2019 4.00,101,11.334,0.008,77.581,166.938,907.743
05-06-2019 5.00,102,14.21,0.008,215.734,378.92,2155.078
05-06-2019 6.00,103,16.605,0.009,376.797,590.476,3041.076
05-06-2019 7.00,104,19.585,0.008,526.432,787.157,3428.557
05-06-2019 8.00,105,21.213,0.008,647.963,955.601,3576.752
05-06-2019 9.00,106,22.367,0.008,725.99,1084.315,3661.088
05-06-2019 10.00,107,22.821,0.008,754.032,1164.542,3404.497
05-06-2019 11.00,108,22.892,0.008,729.91,1190.836,3034.845
05-06-2019 12.00,109,22.452,0.008,667.721,1161.399,2315.9
05-06-2019 13.00,110,21.833,0.008,576.467,1078.253,1423.937
05-06-2019 14.00,111,21.479,0.008,462.904,947.07,1023.402
05-06-2019 15.00,112,21.445,0.009,343.444,776.809,887.487
05-06-2019 16.00,113,20.667,0.009,226.076,579.069,577.465
05-06-2019 17.00,114,18.917,0.01,127.034,367.34,309.176
05-06-2019 18.00,115,17.205,0.01,45.219,156.391,147.692
05-06-2019 19.00,116,16.035,0.01,4.195,16.999,0
05-06-2019 20.00,117,15.128,0.009,0.002,0.013,0
05-06-2019 21.00,118,14.393,0.009,0,0,0
05-06-2019 22.00,119,13.825,0.009,0,0,0
05-06-2019 23.00,120,13.537,0.009,0,0,0
06-06-2019 0.00,121,13.034,0.009,0,0,0
06-06-2019 1.00,122,12.666,0.009,0,0,0
06-06-2019 2.00,123,12.306,0.009,0,0,0
06-06-2019 3.00,124,11.845,0.009,2.724,14.433,0
06-06-2019 4.00,125,12.194,0.009,55.587,168.875,186.615
06-06-2019 5.00,126,12.989,0.009,166.777,380.625,775.959
06-06-2019 6.00,127,13.932,0.009,302.596,591.922,1179.541
06-06-2019 7.00,128,15.092,0.009,437.842,788.418,2469.473
06-06-2019 8.00,129,16.178,0.008,556.79,956.663,2460.94
06-06-2019 9.00,130,16.732,0.008,649.889,1085.232,2580.692
06-06-2019 10.00,131,16.978,0.008,705.271,1165.371,2557.167
06-06-2019 11.00,132,17.29,0.007,722.539,1191.629,2629.645
06-06-2019 12.00,133,17.997,0.007,706.445,1162.208,2831.143
06-06-2019 13.00,134,18.648,0.007,646.777,1079.167,2914.161
06-06-2019 14.00,135,19.013,0.008,550.073,948.122,2886.477
06-06-2019 15.00,136,18.872,0.008,428.975,778.03,2349.445
06-06-2019 16.00,137,18.427,0.008,296.378,580.509,2011.627
06-06-2019 17.00,138,17.608,0.009,166.432,369,1367.411
06-06-2019 18.00,139,15.554,0.01,57.241,158.228,558.398
06-06-2019 19.00,140,13.934,0.009,5.031,17.649,0
06-06-2019 20.00,141,13.235,0.008,0.003,0.018,0
06-06-2019 21.00,142,12.86,0.008,0,0,0
06-06-2019 22.00,143,12.588,0.008,0,0,0
06-06-2019 23.00,144,12.235,0.008,0,0,0
07-06-2019 0.00,145,11.788,0.008,0,0,0
07-06-2019 1.00,146,11.238,0.008,0,0,0
07-06-2019 2.00,147,10.675,0.008,0,0,0
07-06-2019 3.00,148,10.372,0.008,4.698,15.122,4.514
07-06-2019 4.00,149,11.035,0.008,69.21,170.698,250.086
07-06-2019 5.00,150,11.814,0.009,179.354,382.22,386.657
07-06-2019 6.00,151,13.254,0.009,303.677,593.316,683.217
07-06-2019 7.00,152,15.545,0.009,437.021,789.572,1395.388
07-06-2019 8.00,153,18.343,0.009,569.215,957.649,2743.871
07-06-2019 9.00,154,20.61,0.009,676.376,1086.081,3661.142
07-06-2019 10.00,155,22.025,0.009,746.734,1166.143,3828.055
07-06-2019 11.00,156,22.894,0.009,768.766,1192.351,3806.097
07-06-2019 12.00,157,23.049,0.009,738.72,1162.986,3481.993
07-06-2019 13.00,158,22.681,0.009,662.626,1080.014,2968.764
07-06-2019 14.00,159,22.107,0.009,563.278,949.095,2455.784
07-06-2019 15.00,160,21.55,0.009,441.796,779.188,2185.031
07-06-2019 16.00,161,20.472,0.009,302.943,581.859,1167.665
07-06-2019 17.00,162,19.23,0.01,165.364,370.56,852.397
07-06-2019 18.00,163,16.551,0.01,58.085,159.96,298.692
07-06-2019 19.00,164,14.224,0.01,5.784,18.275,0
07-06-2019 20.00,165,13.385,0.009,0.005,0.023,0
07-06-2019 21.00,166,12.955,0.009,0,0,0
07-06-2019 22.00,167,12.581,0.009,0,0,0
07-06-2019 23.00,168,11.981,0.009,0,0,0
08-06-2019 0.00,169,11.164,0.009,0,0,0
08-06-2019 1.00,170,10.379,0.009,0,0,0
08-06-2019 2.00,171,9.916,0.008,0,0,0
08-06-2019 3.00,172,9.528,0.008,5.198,15.788,25.722
08-06-2019 4.00,173,11.005,0.009,76.102,172.407,1108.698
08-06-2019 5.00,174,14.107,0.009,205.498,383.715,2282.172
08-06-2019 6.00,175,16.773,0.009,361.039,594.589,2907.304
08-06-2019 7.00,176,19.041,0.009,519.261,790.649,3296.253
08-06-2019 8.00,177,20.623,0.009,658.188,958.568,3507.815
08-06-2019 9.00,178,21.858,0.009,764.596,1086.877,3604.692
08-06-2019 10.00,179,22.795,0.009,826.319,1166.853,3630.172
08-06-2019 11.00,180,23.33,0.009,842.749,1193.055,3557.142
08-06-2019 12.00,181,23.443,0.009,808.448,1163.681,3367.145
08-06-2019 13.00,182,23.273,0.009,712.757,1080.794,3075.002
08-06-2019 14.00,183,22.854,0.009,572.764,950.001,2663.719
08-06-2019 15.00,184,22.322,0.009,420.41,780.264,2293.459
08-06-2019 16.00,185,21.459,0.009,275.925,583.116,1883.214
08-06-2019 17.00,186,19.82,0.01,144.931,372.019,1025.561
08-06-2019 18.00,187,16.992,0.011,48.887,161.58,323.474
08-06-2019 19.00,188,14.932,0.01,5.007,18.875,0
08-06-2019 20.00,189,13.991,0.009,0.006,0.029,0
08-06-2019 21.00,190,13.202,0.009,0,0,0
08-06-2019 22.00,191,12.668,0.009,0,0,0
08-06-2019 23.00,192,12.439,0.009,0,0,0
09-06-2019 0.00,193,12.221,0.009,0,0,0
09-06-2019 1.00,194,11.954,0.009,0,0,0
09-06-2019 2.00,195,11.316,0.009,0,0,0
09-06-2019 3.00,196,10.891,0.009,3.713,16.427,9.346
09-06-2019 4.00,197,11.9,0.009,53.415,173.998,462.768
09-06-2019 5.00,198,13.307,0.01,151.528,385.109,851.644
09-06-2019 6.00,199,14.71,0.01,272.19,595.777,1357.26
09-06-2019 7.00,200,17.031,0.01,398.691,791.667,2108.993
09-06-2019 8.00,201,19.482,0.01,496.667,959.413,2630.132
09-06-2019 9.00,202,20.993,0.009,563.332,1087.598,2958.145
09-06-2019 10.00,203,21.46,0.009,589.249,1167.483,2980.17
09-06-2019 11.00,204,21.289,0.009,557.734,1193.654,2595.074
09-06-2019 12.00,205,20.444,0.01,502.022,1164.323,1670.771
09-06-2019 13.00,206,19.341,0.01,439.265,1081.513,1041.248
09-06-2019 14.00,207,18.623,0.01,357.769,950.837,749.487
09-06-2019 15.00,208,18.054,0.01,273.212,781.246,496.632
09-06-2019 16.00,209,17.489,0.01,180.561,584.271,312.721
09-06-2019 17.00,210,16.782,0.011,101.84,373.371,147.125
09-06-2019 18.00,211,15.949,0.011,38.328,163.092,30.969
09-06-2019 19.00,212,15.082,0.011,4.315,19.444,0
09-06-2019 20.00,213,14.698,0.01,0.007,0.035,0
09-06-2019 21.00,214,14.414,0.01,0,0,0
09-06-2019 22.00,215,14.131,0.01,0,0,0
09-06-2019 23.00,216,13.875,0.01,0,0,0
10-06-2019 0.00,217,13.806,0.01,0,0,0
10-06-2019 1.00,218,13.587,0.01,0,0,0
10-06-2019 2.00,219,13.094,0.009,0,0,0
10-06-2019 3.00,220,12.711,0.009,4.881,17.036,0
10-06-2019 4.00,221,12.946,0.009,66.357,175.479,278.19
10-06-2019 5.00,222,14.021,0.01,188.052,386.402,953.482
10-06-2019 6.00,223,16.133,0.01,342.672,596.881,2262.981
10-06-2019 7.00,224,18.7,0.01,499.464,792.585,2899.652
10-06-2019 8.00,225,20.658,0.009,633.384,960.189,3295.7
10-06-2019 9.00,226,21.893,0.009,729.831,1088.262,3447.883
10-06-2019 10.00,227,22.724,0.009,775.349,1168.072,3448.523
10-06-2019 11.00,228,22.971,0.009,762.502,1194.226,3111.746
10-06-2019 12.00,229,22.847,0.009,696.675,1164.907,2650.631
10-06-2019 13.00,230,22.391,0.009,607.873,1082.172,2065.764
10-06-2019 14.00,231,21.824,0.009,497.463,951.606,1566.529
10-06-2019 15.00,232,21.12,0.01,374.669,782.153,1056.212
10-06-2019 16.00,233,20.397,0.01,252.345,585.356,792.308
10-06-2019 17.00,234,19.395,0.011,140.982,374.619,398.097
10-06-2019 18.00,235,17.572,0.011,48.745,164.494,104.244
10-06-2019 19.00,236,16.681,0.01,4.231,19.983,0
10-06-2019 20.00,237,16.5,0.01,0.008,0.042,0
10-06-2019 21.00,238,16.139,0.01,0,0,0
10-06-2019 22.00,239,15.287,0.01,0,0,0
10-06-2019 23.00,240,14.161,0.01,0,0,0
11-06-2019 0.00,241,13.26,0.01,0,0,0
11-06-2019 1.00,242,12.554,0.01,0,0,0
11-06-2019 2.00,243,12.088,0.01,0,0,0
11-06-2019 3.00,244,11.829,0.009,3.961,17.61,3.141
11-06-2019 4.00,245,13.308,0.01,60.597,176.845,344.128
11-06-2019 5.00,246,15.25,0.01,171.122,387.588,933.748
11-06-2019 6.00,247,17.408,0.01,313.674,597.885,1625.957
11-06-2019 7.00,248,19.339,0.01,457.75,793.439,2138.99
11-06-2019 8.00,249,20.145,0.01,566.598,960.891,2055.711
11-06-2019 9.00,250,20.302,0.01,610.9,1088.861,1860.637
11-06-2019 10.00,251,20.046,0.01,598.145,1168.605,1589.246
11-06-2019 11.00,252,19.55,0.01,547.96,1194.734,1282.529
11-06-2019 12.00,253,19.131,0.01,495.351,1165.453,1081.857
11-06-2019 13.00,254,18.815,0.01,441.556,1082.73,872.671
11-06-2019 14.00,255,18.4,0.01,363.599,952.306,605.252
11-06-2019 15.00,256,18.5,0.01,277.296,782.988,467.142
11-06-2019 16.00,257,18.649,0.011,195.962,586.333,406.931
11-06-2019 17.00,258,17.675,0.011,120.463,375.763,261.107
11-06-2019 18.00,259,16.158,0.011,48.628,165.78,125.858
11-06-2019 19.00,260,14.769,0.011,6.051,20.486,0
11-06-2019 20.00,261,14.252,0.011,0.011,0.049,0
11-06-2019 21.00,262,13.914,0.01,0,0,0
11-06-2019 22.00,263,13.529,0.01,0,0,0
11-06-2019 23.00,264,13.164,0.01,0,0,0
12-06-2019 0.00,265,12.704,0.01,0,0,0
12-06-2019 1.00,266,12.349,0.01,0,0,0
12-06-2019 2.00,267,12.095,0.01,0,0,0
12-06-2019 3.00,268,11.891,0.01,3.528,18.148,0
12-06-2019 4.00,269,12.648,0.01,55.422,178.095,241.409
12-06-2019 5.00,270,14.077,0.01,164.025,388.673,874.167
12-06-2019 6.00,271,15.44,0.011,298.44,598.809,1509.213
12-06-2019 7.00,272,17.869,0.011,438.429,794.21,2843.654
12-06-2019 8.00,273,20.402,0.01,578.278,961.518,3424.324
12-06-2019 9.00,274,21.586,0.01,682,1089.38,3328.637
12-06-2019 10.00,275,22.199,0.01,727.079,1169.075,3076.078
12-06-2019 11.00,276,22.648,0.01,726.556,1195.183,3005.681
12-06-2019 12.00,277,23.148,0.01,687.402,1165.906,3088.758
12-06-2019 13.00,278,22.915,0.01,610.065,1083.273,2526.346
12-06-2019 14.00,279,22.546,0.01,506.638,952.928,2115.522
12-06-2019 15.00,280,22.323,0.01,395.239,783.732,1792.724
12-06-2019 16.00,281,21.977,0.011,272.383,587.206,1486.598
12-06-2019 17.00,282,20.735,0.011,149.308,376.805,876.117
12-06-2019 18.00,283,18.038,0.012,51.768,166.955,228.194
12-06-2019 19.00,284,16.045,0.011,4.938,20.952,0
12-06-2019 20.00,285,15.809,0.011,0.009,0.056,0
12-06-2019 21.00,286,15.584,0.011,0,0,0
12-06-2019 22.00,287,15.112,0.011,0,0,0
12-06-2019 23.00,288,14.725,0.011,0,0,0
13-06-2019 0.00,289,14.3,0.011,0,0,0
13-06-2019 1.00,290,13.978,0.011,0,0,0
13-06-2019 2.00,291,14.266,0.011,0,0,0
13-06-2019 3.00,292,14.6,0.011,3.77,18.646,0
13-06-2019 4.00,293,15.049,0.011,45.86,179.228,122.854
13-06-2019 5.00,294,15.61,0.011,119.453,389.659,227.247
13-06-2019 6.00,295,16.049,0.011,219.274,599.631,397.756
13-06-2019 7.00,296,16.717,0.011,331.911,794.889,738.161
13-06-2019 8.00,297,17.736,0.011,445.43,962.093,1172.595
13-06-2019 9.00,298,19.007,0.011,516.12,1089.844,1468.973
