Date,Parameter,Value,Unit of measure
Mar-15,Station electricity usage,65291.0,kWh
Mar-15,Station electricity usage,160207.0,kWh
Mar-15,Station electricity usage,135081.0,kWh
Mar-15,Station electricity usage,47380.0,kWh
Apr-15,Station electricity usage,78051.0,kWh
Apr-15,Station electricity usage,156619.0,kWh
Apr-15,Station electricity usage,129380.0,kWh
Apr-15,Station electricity usage,48485.0,kWh
May-15,Station electricity usage,133034.0,kWh
May-15,Station electricity usage,176046.0,kWh
May-15,Station electricity usage,143733.0,kWh
May-15,Station electricity usage,46682.0,kWh
Jan-93,Fuel usage,46837.0,litres
Feb-93,Fuel usage,44224.0,litres
Jan-94,Fuel usage,51568.0,litres
Feb-94,Fuel usage,58484.0,litres
Mar-94,Fuel usage,76078.0,litres
Apr-94,Fuel usage,74699.0,litres
Apr-95,Fuel usage,61463.0,litres
Apr-96,Fuel usage,58533.0,litres
Apr-97,Fuel usage,63655.0,litres
Apr-97,Fuel usage,56360.0,litres
Mar-98,Fuel usage,54409.0,litres
Mar-98,Fuel usage,54923.0,litres
Mar-98,Fuel usage,46425.0,litres
Jan-99,Fuel usage,48847.0,litres
Jan-99,Fuel usage,45175.0,litres
Jan-99,Fuel usage,44809.0,litres
Feb-99,Fuel usage,43846.0,litres
Feb-99,Fuel usage,40304.0,litres
Feb-99,Fuel usage,42059.0,litres
Mar-03,Fuel usage,27240.0,litres
Mar-03,Fuel usage,48622.0,litres
Mar-03,Fuel usage,44153.0,litres
Mar-03,Fuel usage,13570.0,litres
Apr-03,Fuel usage,35784.0,litres
Apr-03,Fuel usage,49019.0,litres
Apr-03,Fuel usage,37088.0,litres
Apr-03,Fuel usage,15530.0,litres
May-03,Fuel usage,35848.0,litres
May-03,Fuel usage,56981.0,litres
May-03,Fuel usage,47107.0,litres
May-03,Fuel usage,14390.0,litres
Jun-03,Fuel usage,37692.0,litres
Jun-03,Fuel usage,52308.0,litres
Jun-03,Fuel usage,42839.0,litres
Jun-03,Fuel usage,16677.0,litres
Jul-03,Fuel usage,42260.0,litres
Jul-03,Fuel usage,58104.0,litres
Jul-03,Fuel usage,45299.0,litres
Jul-03,Fuel usage,14700.0,litres
Aug-03,Fuel usage,45466.0,litres
Aug-03,Fuel usage,56185.0,litres
Aug-03,Fuel usage,41286.0,litres
Aug-03,Fuel usage,16328.0,litres
Sep-03,Fuel usage,40183.0,litres
Sep-03,Fuel usage,48622.0,litres
Sep-03,Fuel usage,42960.0,litres
Sep-03,Fuel usage,15821.0,litres
Oct-03,Fuel usage,30214.0,litres
Oct-03,Fuel usage,46959.0,litres
Oct-03,Fuel usage,44381.0,litres
Oct-03,Fuel usage,15667.0,litres
Nov-03,Fuel usage,29937.0,litres
Nov-03,Fuel usage,44818.0,litres
Nov-03,Fuel usage,43762.0,litres
Nov-03,Fuel usage,15082.0,litres
Dec-03,Fuel usage,28098.0,litres
Dec-03,Fuel usage,46592.0,litres
Dec-03,Fuel usage,43248.0,litres
Dec-03,Fuel usage,15869.0,litres
Jan-04,Fuel usage,26813.0,litres
Jan-04,Fuel usage,49000.0,litres
Jan-04,Fuel usage,41642.0,litres
Jan-04,Fuel usage,14314.0,litres
Feb-04,Fuel usage,30456.0,litres
Feb-04,Fuel usage,42550.0,litres
Feb-04,Fuel usage,42048.0,litres
Feb-04,Fuel usage,11861.0,litres
Mar-04,Fuel usage,34493.0,litres
Mar-04,Fuel usage,51641.0,litres
Mar-04,Fuel usage,39098.0,litres
Mar-04,Fuel usage,15316.0,litres
Apr-04,Fuel usage,39088.0,litres
Apr-04,Fuel usage,50835.0,litres
Apr-04,Fuel usage,42167.0,litres
Apr-04,Fuel usage,16288.0,litres
Dec-12,Fuel usage,23983.0,litres
Dec-12,Fuel usage,40288.0,litres
Dec-12,Fuel usage,40021.0,litres
Dec-12,Fuel usage,18173.0,litres
Jan-13,Fuel usage,29294.0,litres
Jan-13,Fuel usage,23973.0,litres
Jan-13,Fuel usage,56360.0,litres
Jan-13,Fuel usage,17458.0,litres
Feb-13,Fuel usage,21857.0,litres
Feb-13,Fuel usage,35132.0,litres
Feb-13,Fuel usage,42375.0,litres
Feb-13,Fuel usage,15884.0,litres
Sep-14,Fuel usage,16479.0,litres
Sep-14,Fuel usage,51347.0,litres
Sep-14,Fuel usage,47512.0,litres
Sep-14,Fuel usage,16214.0,litres
Oct-14,Fuel usage,18546.0,litres
Oct-14,Fuel usage,49390.0,litres
Oct-14,Fuel usage,47686.0,litres
Oct-14,Fuel usage,16601.0,litres
Nov-14,Fuel usage,19103.0,litres
Nov-14,Fuel usage,45656.0,litres
Nov-14,Fuel usage,56546.0,litres
Nov-14,Fuel usage,16059.0,litres
Dec-14,Fuel usage,17769.0,litres
Dec-14,Fuel usage,45387.0,litres
Dec-14,Fuel usage,48505.0,litres
Dec-14,Fuel usage,15330.0,litres
Jan-15,Fuel usage,22157.0,litres
Jan-15,Fuel usage,49796.0,litres
Jan-15,Fuel usage,20233.0,litres
Jan-15,Fuel usage,15603.0,litres
Feb-15,Fuel usage,15705.0,litres
Feb-15,Fuel usage,46579.0,litres
Feb-15,Fuel usage,48814.0,litres
Feb-15,Fuel usage,14037.0,litres
Mar-15,Fuel usage,18157.0,litres
Mar-15,Fuel usage,59685.0,litres
Mar-15,Fuel usage,57057.0,litres
Mar-15,Fuel usage,14676.0,litres
Apr-15,Fuel usage,21976.0,litres
Apr-15,Fuel usage,63701.0,litres
Apr-15,Fuel usage,47711.0,litres
Apr-15,Fuel usage,15683.0,litres
May-15,Fuel usage,40926.0,litres
May-15,Fuel usage,67591.0,litres
May-15,Fuel usage,53879.0,litres
May-15,Fuel usage,15598.0,litres
Apr-95,Fuel usage,1150.0,litres
Apr-96,Fuel usage,1500.0,litres
Apr-97,Fuel usage,400.0,litres
Apr-97,Fuel usage,1250.0,litres
Apr-97,Fuel usage,1850.0,litres
Apr-97,Fuel usage,1430.0,litres
Mar-98,Fuel usage,700.0,litres
Mar-98,Fuel usage,450.0,litres
Mar-98,Fuel usage,1500.0,litres
Mar-98,Fuel usage,,litres
Jan-99,Fuel usage,800.0,litres
Jan-99,Fuel usage,700.0,litres
Jan-99,Fuel usage,2250.0,litres
