??,??,????,??,????
01-12-2019 0.00,1,1.318,8.285,2578.96
01-12-2019 1.00,2,1.314,7.99,2379.431
01-12-2019 2.00,3,1.309,7.685,2162.803
01-12-2019 3.00,4,1.304,7.547,2068.773
01-12-2019 4.00,5,1.302,7.058,1740.835
01-12-2019 5.00,6,1.3,6.59,1444.972
01-12-2019 6.00,7,1.3,6.048,1134.929
01-12-2019 7.00,8,1.301,5.632,915.033
01-12-2019 8.00,9,1.303,5.961,1088.558
01-12-2019 9.00,10,1.304,6.117,1168.477
01-12-2019 10.00,11,1.305,6.332,1295.209
01-12-2019 11.00,12,1.305,6.082,1153.452
01-12-2019 12.00,13,1.306,5.476,840.221
01-12-2019 13.00,14,1.307,4.979,623.817
01-12-2019 14.00,15,1.307,4.607,483.827
01-12-2019 15.00,16,1.308,4.01,297.279
01-12-2019 16.00,17,1.308,3.932,276.157
01-12-2019 17.00,18,1.309,3.996,293.517
01-12-2019 18.00,19,1.309,4.279,378.396
01-12-2019 19.00,20,1.31,4.633,496.556
01-12-2019 20.00,21,1.31,4.952,613.053
01-12-2019 21.00,22,1.311,4.891,589.266
01-12-2019 22.00,23,1.312,4.824,563.397
01-12-2019 23.00,24,1.312,4.637,497.716
02-12-2019 0.00,25,1.311,4.574,472.27
02-12-2019 1.00,26,1.308,4.787,552.857
02-12-2019 2.00,27,1.305,4.383,411.338
02-12-2019 3.00,28,1.303,4.105,324.023
02-12-2019 4.00,29,1.302,4.104,323.706
02-12-2019 5.00,30,1.302,4.273,374.569
02-12-2019 6.00,31,1.303,4.569,470.758
02-12-2019 7.00,32,1.305,4.936,606.902
02-12-2019 8.00,33,1.308,5.574,891.081
02-12-2019 9.00,34,1.311,6.045,1131.664
02-12-2019 10.00,35,1.313,6.868,1622.735
02-12-2019 11.00,36,1.315,7.698,2171.685
02-12-2019 12.00,37,1.317,8.158,2489.88
02-12-2019 13.00,38,1.319,8.224,2533.748
02-12-2019 14.00,39,1.321,8.075,2434.18
02-12-2019 15.00,40,1.323,7.583,2097.784
02-12-2019 16.00,41,1.325,7.318,1913.563
02-12-2019 17.00,42,1.326,7.398,1974.085
02-12-2019 18.00,43,1.328,7.609,2111.582
02-12-2019 19.00,44,1.33,7.692,2167.974
02-12-2019 20.00,45,1.332,7.343,1932.583
02-12-2019 21.00,46,1.335,7.068,1747.804
02-12-2019 22.00,47,1.337,6.964,1683.69
02-12-2019 23.00,48,1.34,6.758,1554.879
03-12-2019 0.00,49,1.341,6.738,1542.024
03-12-2019 1.00,50,1.34,6.836,1600.388
03-12-2019 2.00,51,1.338,7.093,1766.288
03-12-2019 3.00,52,1.337,7.065,1745.992
03-12-2019 4.00,53,1.337,7.179,1821.44
03-12-2019 5.00,54,1.337,7.206,1838.907
03-12-2019 6.00,55,1.339,7.734,2199.015
03-12-2019 7.00,56,1.341,8.032,2407.263
03-12-2019 8.00,57,1.344,8.626,2806.005
03-12-2019 9.00,58,1.347,9.185,3171.044
03-12-2019 10.00,59,1.35,9.711,3485.071
03-12-2019 11.00,60,1.353,10.28,3778.354
03-12-2019 12.00,61,1.356,10.61,3932.279
03-12-2019 13.00,62,1.359,10.552,3906.112
03-12-2019 14.00,63,1.361,10.163,3722.718
03-12-2019 15.00,64,1.364,9.578,3408.536
03-12-2019 16.00,65,1.366,8.979,3037.824
03-12-2019 17.00,66,1.368,8.389,2646.475
03-12-2019 18.00,67,1.37,8.084,2441.71
03-12-2019 19.00,68,1.372,8.106,2455.495
03-12-2019 20.00,69,1.373,8.05,2421.023
03-12-2019 21.00,70,1.374,7.975,2362.658
03-12-2019 22.00,71,1.376,7.94,2338.599
