??,??,??,??,??????,????????,????
01-09-2019 0.00,1,11.281,0.009,0,0,0
01-09-2019 1.00,2,10.447,0.009,0,0,0
01-09-2019 2.00,3,9.97,0.009,0,0,0
01-09-2019 3.00,4,9.942,0.009,0,0,0
01-09-2019 4.00,5,9.962,0.009,2.222,7.152,0
01-09-2019 5.00,6,11.849,0.009,65.125,156.73,951.663
01-09-2019 6.00,7,14.133,0.009,197.159,384.867,1809.507
01-09-2019 7.00,8,15.898,0.01,352.22,597.137,2240.897
01-09-2019 8.00,9,17.687,0.01,489.179,778.918,2548.483
01-09-2019 9.00,10,19.519,0.01,597.534,917.798,2802.475
01-09-2019 10.00,11,20.736,0.01,652.827,1004.287,2955.713
01-09-2019 11.00,12,21.511,0.01,653.62,1032.466,3096.007
01-09-2019 12.00,13,21.723,0.011,612.812,1000.399,2746.238
01-09-2019 13.00,14,21.319,0.011,533.699,910.227,1989.561
01-09-2019 14.00,15,20.496,0.011,423.133,768.098,1251.729
01-09-2019 15.00,16,19.274,0.011,295.945,583.66,471.321
01-09-2019 16.00,17,18.06,0.012,163.225,369.465,111.503
01-09-2019 17.00,18,17.003,0.012,50.649,141.343,5.963
01-09-2019 18.00,19,15.865,0.011,1.536,6.274,0
01-09-2019 19.00,20,15.246,0.011,0,0,0
01-09-2019 20.00,21,14.682,0.01,0,0,0
01-09-2019 21.00,22,14.038,0.01,0,0,0
01-09-2019 22.00,23,13.302,0.01,0,0,0
01-09-2019 23.00,24,12.798,0.01,0,0,0
02-09-2019 0.00,25,12.174,0.009,0,0,0
02-09-2019 1.00,26,11.515,0.009,0,0,0
02-09-2019 2.00,27,10.865,0.009,0,0,0
02-09-2019 3.00,28,10.254,0.009,0,0,0
02-09-2019 4.00,29,9.682,0.009,1.478,6.061,0
02-09-2019 5.00,30,10.106,0.009,62.094,150.74,544
02-09-2019 6.00,31,11.403,0.009,207.22,379.102,1709.084
02-09-2019 7.00,32,13.487,0.009,378.321,591.684,3147.57
02-09-2019 8.00,33,16.533,0.009,530.126,773.718,3607.18
02-09-2019 9.00,34,18.816,0.009,647.804,912.786,3706.575
02-09-2019 10.00,35,20.065,0.009,722.397,999.4,3670.631
02-09-2019 11.00,36,20.638,0.009,749.026,1027.624,3548.165
02-09-2019 12.00,37,20.802,0.009,715.537,995.495,3351.948
02-09-2019 13.00,38,20.642,0.009,633.754,905.198,3048.82
02-09-2019 14.00,39,20.229,0.009,512.313,762.871,2660.137
02-09-2019 15.00,40,19.477,0.009,351.985,578.17,1980.429
02-09-2019 16.00,41,18.409,0.01,193.783,363.66,1549.472
02-09-2019 17.00,42,15.902,0.011,56.377,135.565,699.627
02-09-2019 18.00,43,13.718,0.009,1.237,5.277,0
02-09-2019 19.00,44,13.095,0.009,0,0,0
02-09-2019 20.00,45,12.748,0.009,0,0,0
02-09-2019 21.00,46,12.535,0.009,0,0,0
02-09-2019 22.00,47,12.44,0.009,0,0,0
02-09-2019 23.00,48,12.444,0.009,0,0,0
03-09-2019 0.00,49,12.353,0.008,0,0,0
03-09-2019 1.00,50,12.229,0.008,0,0,0
03-09-2019 2.00,51,12.198,0.008,0,0,0
03-09-2019 3.00,52,12.113,0.008,0,0,0
03-09-2019 4.00,53,11.855,0.008,1.587,5.096,0
03-09-2019 5.00,54,12.19,0.009,57.28,144.749,1156.879
03-09-2019 6.00,55,14.252,0.009,178.542,373.292,1780.119
03-09-2019 7.00,56,16.038,0.01,311.674,586.157,2155.68
03-09-2019 8.00,57,18.716,0.01,445.571,768.446,2587.551
03-09-2019 9.00,58,20.053,0.01,547.787,907.694,2118.231
03-09-2019 10.00,59,20.466,0.01,609.146,994.433,2000.581
03-09-2019 11.00,60,21.583,0.01,641.048,1022.677,3117.028
03-09-2019 12.00,61,22.51,0.01,631.408,990.514,3655.481
03-09-2019 13.00,62,22.773,0.01,572.676,900.105,3538.137
03-09-2019 14.00,63,22.555,0.01,468.774,757.555,3170.192
03-09-2019 15.00,64,21.944,0.011,332.512,572.601,2405.15
03-09-2019 16.00,65,21.944,0.012,181.684,357.808,1621.062
03-09-2019 17.00,66,19.48,0.012,48.105,129.805,479.558
03-09-2019 18.00,67,18.065,0.011,0.976,4.387,0
03-09-2019 19.00,68,17.469,0.011,0,0,0
03-09-2019 20.00,69,17.211,0.01,0,0,0
03-09-2019 21.00,70,16.707,0.01,0,0,0
03-09-2019 22.00,71,14.862,0.01,0,0,0
03-09-2019 23.00,72,13.237,0.01,0,0,0
04-09-2019 0.00,73,12.471,0.01,0,0,0
04-09-2019 1.00,74,12.087,0.01,0,0,0
04-09-2019 2.00,75,12.009,0.01,0,0,0
04-09-2019 3.00,76,12.029,0.01,0,0,0
04-09-2019 4.00,77,11.971,0.01,1.138,4.251,0
04-09-2019 5.00,78,13.053,0.01,50.757,138.757,135.476
04-09-2019 6.00,79,14.779,0.011,174.848,367.421,507.231
04-09-2019 7.00,80,16.905,0.011,326.061,580.575,1085.447
04-09-2019 8.00,81,19.729,0.012,471.631,763.109,1744.848
04-09-2019 9.00,82,21.992,0.013,584.935,902.549,2161.128
04-09-2019 10.00,83,23.554,0.013,649.364,989.397,2736.912
04-09-2019 11.00,84,24.515,0.013,666.515,1017.692,2895.584
04-09-2019 12.00,85,24.893,0.014,631.612,985.466,2648.487
04-09-2019 13.00,86,24.859,0.014,553.007,894.927,2315.434
04-09-2019 14.00,87,24.561,0.014,441.603,752.202,2041.564
04-09-2019 15.00,88,23.95,0.015,303.536,566.981,1676.679
04-09-2019 16.00,89,22.828,0.015,162.142,351.896,1082.154
04-09-2019 17.00,90,20.26,0.015,41.287,124.069,313.003
04-09-2019 18.00,91,18.393,0.014,0.633,3.6,0
04-09-2019 19.00,92,17.817,0.014,0,0,0
04-09-2019 20.00,93,17.336,0.014,0,0,0
04-09-2019 21.00,94,17.022,0.013,0,0,0
04-09-2019 22.00,95,16.705,0.013,0,0,0
04-09-2019 23.00,96,16.298,0.013,0,0,0
05-09-2019 0.00,97,15.888,0.013,0,0,0
05-09-2019 1.00,98,15.52,0.012,0,0,0
05-09-2019 2.00,99,15.145,0.012,0,0,0
05-09-2019 3.00,100,14.733,0.012,0,0,0
05-09-2019 4.00,101,14.36,0.012,0.841,3.516,0
05-09-2019 5.00,102,15.321,0.012,43.501,132.786,533.916
05-09-2019 6.00,103,17.549,0.012,159.921,361.499,1547.11
05-09-2019 7.00,104,19.709,0.012,307.405,574.931,2241.24
05-09-2019 8.00,105,22.111,0.013,447.22,757.71,2512.326
05-09-2019 9.00,106,23.744,0.013,545.174,897.325,2669.34
05-09-2019 10.00,107,24.644,0.013,598.427,984.295,2470.743
05-09-2019 11.00,108,25.167,0.013,607.287,1012.602,2478.447
05-09-2019 12.00,109,25.351,0.013,570.582,980.35,2210.929
05-09-2019 13.00,110,25.216,0.013,500.964,889.688,1828.245
05-09-2019 14.00,111,24.601,0.014,392.954,746.763,1217.163
05-09-2019 15.00,112,23.578,0.014,266.257,561.315,635.177
05-09-2019 16.00,113,22.148,0.015,137.48,345.936,300.953
05-09-2019 17.00,114,20.162,0.014,35.099,118.367,88.165
05-09-2019 18.00,115,18.647,0.013,0.608,2.91,0
05-09-2019 19.00,116,18.051,0.013,0,0,0
05-09-2019 20.00,117,17.766,0.013,0,0,0
05-09-2019 21.00,118,17.597,0.012,0,0,0
05-09-2019 22.00,119,17.157,0.012,0,0,0
05-09-2019 23.00,120,16.698,0.012,0,0,0
06-09-2019 0.00,121,16.27,0.012,0,0,0
06-09-2019 1.00,122,15.828,0.012,0,0,0
06-09-2019 2.00,123,15.57,0.012,0,0,0
06-09-2019 3.00,124,15.449,0.011,0,0,0
06-09-2019 4.00,125,15.328,0.011,0.57,2.882,0
06-09-2019 5.00,126,16.044,0.011,38.786,126.843,233.867
06-09-2019 6.00,127,17.822,0.012,145.952,355.523,818.929
06-09-2019 7.00,128,20.159,0.013,281.84,569.23,1524.557
06-09-2019 8.00,129,22.827,0.013,421.713,752.229,2431.047
06-09-2019 9.00,130,24.253,0.013,531.881,892.04,2977.653
06-09-2019 10.00,131,25.359,0.013,599.398,979.101,3290.905
06-09-2019 11.00,132,26.045,0.013,619.182,1007.471,3450.304
06-09-2019 12.00,133,26.382,0.013,589.113,975.172,3360.194
06-09-2019 13.00,134,26.263,0.013,521.925,884.375,2989.717
06-09-2019 14.00,135,25.895,0.013,419.678,741.275,2736.644
06-09-2019 15.00,136,25.446,0.014,287.763,555.573,2180.951
06-09-2019 16.00,137,25.326,0.014,150.996,339.925,1382.143
06-09-2019 17.00,138,22.966,0.014,38.664,112.711,412.568
06-09-2019 18.00,139,21.598,0.013,0.524,2.312,0
06-09-2019 19.00,140,20.895,0.013,0,0,0
06-09-2019 20.00,141,20.356,0.013,0,0,0
06-09-2019 21.00,142,19.897,0.013,0,0,0
06-09-2019 22.00,143,19.466,0.013,0,0,0
06-09-2019 23.00,144,18.972,0.013,0,0,0
07-09-2019 0.00,145,18.457,0.012,0,0,0
07-09-2019 1.00,146,17.929,0.012,0,0,0
07-09-2019 2.00,147,17.378,0.012,0,0,0
07-09-2019 3.00,148,16.691,0.012,0,0,0
