??,??,??,??,??????,????????,????
07-09-2019 4.00,149,15.903,0.012,0.303,2.339,0
07-09-2019 5.00,150,15.978,0.012,31.584,120.947,259.924
07-09-2019 6.00,151,18.205,0.013,126.744,349.505,731.615
07-09-2019 7.00,152,19.92,0.013,242.365,563.485,1288.229
07-09-2019 8.00,153,21.889,0.014,351.522,746.716,1423.231
07-09-2019 9.00,154,22.836,0.014,436.941,886.682,1482.028
07-09-2019 10.00,155,23.283,0.014,488.401,973.86,1621.733
07-09-2019 11.00,156,23.484,0.014,492.702,1002.258,1717.817
07-09-2019 12.00,157,23.425,0.014,449.456,969.91,1343.906
07-09-2019 13.00,158,23.129,0.014,371.682,879.014,995.984
07-09-2019 14.00,159,22.54,0.015,281.541,735.723,643.021
07-09-2019 15.00,160,21.769,0.015,186.767,549.791,354.517
07-09-2019 16.00,161,20.862,0.016,96.626,333.866,145.868
07-09-2019 17.00,162,20.009,0.015,25.169,107.106,14.871
07-09-2019 18.00,163,19.57,0.015,0.357,1.803,0
07-09-2019 19.00,164,19.466,0.015,0,0,0
07-09-2019 20.00,165,19.412,0.015,0,0,0
07-09-2019 21.00,166,19.248,0.015,0,0,0
07-09-2019 22.00,167,19.089,0.014,0,0,0
07-09-2019 23.00,168,19.076,0.014,0,0,0
08-09-2019 0.00,169,19.021,0.014,0,0,0
08-09-2019 1.00,170,18.985,0.014,0,0,0
08-09-2019 2.00,171,18.873,0.014,0,0,0
08-09-2019 3.00,172,18.672,0.014,0,0,0
08-09-2019 4.00,173,18.393,0.014,0.098,1.877,0
08-09-2019 5.00,174,18.144,0.013,15.013,115.109,1.483
08-09-2019 6.00,175,18.14,0.014,71.436,343.429,81.137
08-09-2019 7.00,176,18.336,0.014,155.006,557.662,218.883
08-09-2019 8.00,177,18.563,0.014,257.85,741.123,429.566
08-09-2019 9.00,178,18.617,0.014,367.023,881.276,600.609
08-09-2019 10.00,179,18.626,0.013,464.629,968.542,744.093
08-09-2019 11.00,180,18.854,0.013,522.847,996.973,1068.964
08-09-2019 12.00,181,20.088,0.013,536.247,964.573,1813.693
08-09-2019 13.00,182,21.676,0.012,502.844,873.562,3090.912
08-09-2019 14.00,183,22.235,0.012,424.443,730.091,2484.43
08-09-2019 15.00,184,21.952,0.012,312.986,543.947,1289.351
08-09-2019 16.00,185,21.051,0.012,177.909,327.755,1091.859
08-09-2019 17.00,186,19.569,0.012,44.402,101.565,344.273
08-09-2019 18.00,187,18.251,0.011,0.36,1.376,0
08-09-2019 19.00,188,17.181,0.011,0,0,0
08-09-2019 20.00,189,16.046,0.01,0,0,0
08-09-2019 21.00,190,14.882,0.01,0,0,0
08-09-2019 22.00,191,13.826,0.009,0,0,0
08-09-2019 23.00,192,12.875,0.009,0,0,0
09-09-2019 0.00,193,12.061,0.009,0,0,0
09-09-2019 1.00,194,11.151,0.008,0,0,0
09-09-2019 2.00,195,10.366,0.008,0,0,0
09-09-2019 3.00,196,9.45,0.008,0,0,0
09-09-2019 4.00,197,8.625,0.007,0.42,1.485,0
09-09-2019 5.00,198,8.747,0.007,46.521,109.349,113.108
09-09-2019 6.00,199,10.072,0.007,189.136,337.307,1004.872
09-09-2019 7.00,200,12.325,0.007,350.898,551.791,2874.65
09-09-2019 8.00,201,13.827,0.007,491.973,735.468,2532.017
09-09-2019 9.00,202,14.444,0.007,588.234,875.775,1960.377
09-09-2019 10.00,203,15.867,0.007,654.38,963.156,3553.758
09-09-2019 11.00,204,16.922,0.007,669.25,991.611,3939.359
09-09-2019 12.00,205,17.401,0.007,620.515,959.176,3913.221
09-09-2019 13.00,206,17.443,0.007,535.459,868.063,3683.173
09-09-2019 14.00,207,17.099,0.007,419.854,724.417,3110.055
09-09-2019 15.00,208,16.122,0.007,278.28,538.036,1056.782
09-09-2019 16.00,209,15.119,0.008,142.267,321.599,662.459
09-09-2019 17.00,210,13.76,0.008,32.948,96.092,288.982
09-09-2019 18.00,211,12.542,0.008,0.214,1.025,0
09-09-2019 19.00,212,11.75,0.008,0,0,0
09-09-2019 20.00,213,11.161,0.008,0,0,0
09-09-2019 21.00,214,10.704,0.007,0,0,0
09-09-2019 22.00,215,10.281,0.007,0,0,0
09-09-2019 23.00,216,9.387,0.007,0,0,0
10-09-2019 0.00,217,8.222,0.007,0,0,0
10-09-2019 1.00,218,7.706,0.007,0,0,0
10-09-2019 2.00,219,7.585,0.007,0,0,0
10-09-2019 3.00,220,7.16,0.007,0,0,0
10-09-2019 4.00,221,7.126,0.007,0.285,1.157,0
10-09-2019 5.00,222,7.211,0.006,36.433,103.668,298.407
10-09-2019 6.00,223,8.575,0.007,159.592,331.135,2062.293
10-09-2019 7.00,224,10.798,0.007,315.93,545.874,3255.266
10-09-2019 8.00,225,12.74,0.006,457.086,729.751,3554.773
10-09-2019 9.00,226,14.087,0.006,560.625,870.231,3579.01
10-09-2019 10.00,227,14.957,0.006,622.519,957.697,3486.162
10-09-2019 11.00,228,15.227,0.006,639.814,986.186,3065.691
10-09-2019 12.00,229,14.97,0.007,608.984,953.716,2281.11
10-09-2019 13.00,230,14.441,0.007,521.687,862.475,1644.474
10-09-2019 14.00,231,13.708,0.007,409.21,718.686,1092.069
10-09-2019 15.00,232,12.94,0.007,267.668,532.094,657.498
10-09-2019 16.00,233,12.104,0.007,135.908,315.394,282.464
10-09-2019 17.00,234,10.824,0.008,33.554,90.701,66.177
10-09-2019 18.00,235,9.537,0.007,0.201,0.744,0
10-09-2019 19.00,236,8.689,0.007,0,0,0
10-09-2019 20.00,237,7.715,0.007,0,0,0
10-09-2019 21.00,238,6.96,0.007,0,0,0
10-09-2019 22.00,239,6.429,0.007,0,0,0
10-09-2019 23.00,240,6.079,0.007,0,0,0
11-09-2019 0.00,241,5.756,0.006,0,0,0
11-09-2019 1.00,242,5.584,0.006,0,0,0
11-09-2019 2.00,243,5.681,0.006,0,0,0
11-09-2019 3.00,244,5.686,0.006,0,0,0
11-09-2019 4.00,245,5.623,0.006,0.186,0.887,0
11-09-2019 5.00,246,6.337,0.006,39.143,98.085,195.733
11-09-2019 6.00,247,8.199,0.006,186.243,324.928,1445.395
11-09-2019 7.00,248,10.833,0.007,366.378,539.895,3144.774
11-09-2019 8.00,249,13.669,0.007,518.31,723.992,3691.123
11-09-2019 9.00,250,15.375,0.006,630.317,864.605,3874.661
11-09-2019 10.00,251,16.413,0.006,689.546,952.175,3931.043
11-09-2019 11.00,252,16.931,0.007,695.95,980.688,3824.812
11-09-2019 12.00,253,17.106,0.007,661.575,948.17,3789.401
11-09-2019 13.00,254,17.03,0.007,575.722,856.852,3661.893
11-09-2019 14.00,255,16.562,0.007,456.408,712.889,3057.58
11-09-2019 15.00,256,15.803,0.007,319.001,526.082,2178.924
11-09-2019 16.00,257,14.616,0.008,165.4,309.15,1663.029
11-09-2019 17.00,258,11.571,0.008,34.112,85.405,750.456
11-09-2019 18.00,259,10.07,0.007,0.095,0.524,0
11-09-2019 19.00,260,9.737,0.007,0,0,0
11-09-2019 20.00,261,9.501,0.007,0,0,0
11-09-2019 21.00,262,9.396,0.007,0,0,0
11-09-2019 22.00,263,9.287,0.007,0,0,0
11-09-2019 23.00,264,9.235,0.007,0,0,0
12-09-2019 0.00,265,9.056,0.007,0,0,0
12-09-2019 1.00,266,8.76,0.007,0,0,0
12-09-2019 2.00,267,8.446,0.007,0,0,0
12-09-2019 3.00,268,8.251,0.007,0,0,0
12-09-2019 4.00,269,8.168,0.006,0.158,0.667,0
12-09-2019 5.00,270,8.593,0.007,38.227,92.605,842.858
12-09-2019 6.00,271,10.815,0.007,167.336,318.67,2323.334
12-09-2019 7.00,272,13.521,0.007,313.564,533.87,3138.775
12-09-2019 8.00,273,16.585,0.007,447.453,718.151,3408.691
12-09-2019 9.00,274,18.304,0.007,554.713,858.934,3582.314
12-09-2019 10.00,275,19.574,0.008,615.124,946.585,3638.79
12-09-2019 11.00,276,20.371,0.008,621.069,975.136,3431.362
12-09-2019 12.00,277,20.289,0.008,591.214,942.586,2401.743
12-09-2019 13.00,278,19.78,0.008,518.974,851.153,1567.848
12-09-2019 14.00,279,19.544,0.008,403.741,707.033,1409.721
12-09-2019 15.00,280,18.826,0.009,267.171,520.03,1035.292
12-09-2019 16.00,281,17.038,0.01,136.13,302.866,467.458
12-09-2019 17.00,282,14.335,0.009,29.472,80.212,146.217
12-09-2019 18.00,283,12.877,0.009,0.057,0.357,0
12-09-2019 19.00,284,12.417,0.009,0,0,0
12-09-2019 20.00,285,11.946,0.009,0,0,0
12-09-2019 21.00,286,11.134,0.008,0,0,0
12-09-2019 22.00,287,10.511,0.008,0,0,0
12-09-2019 23.00,288,10.217,0.008,0,0,0
13-09-2019 0.00,289,9.902,0.008,0,0,0
13-09-2019 1.00,290,9.282,0.008,0,0,0
13-09-2019 2.00,291,9.147,0.008,0,0,0
13-09-2019 3.00,292,9.832,0.008,0,0,0
13-09-2019 4.00,293,10.159,0.008,0.13,0.49,0
13-09-2019 5.00,294,10.472,0.008,24.627,87.242,31.554
13-09-2019 6.00,295,11.862,0.009,93.626,312.37,309.187
13-09-2019 7.00,296,13.61,0.009,171.54,527.798,653.895
13-09-2019 8.00,297,15.002,0.009,243.446,712.274,672.697
13-09-2019 9.00,298,15.706,0.01,292.365,853.198,675.75
13-09-2019 10.00,299,16.107,0.01,314.323,940.935,728.997
13-09-2019 11.00,300,16.237,0.01,324.807,969.501,710.017
13-09-2019 12.00,301,16.38,0.01,323.785,936.925,522.102
13-09-2019 13.00,302,16.528,0.01,298.042,845.377,420.173
13-09-2019 14.00,303,16.747,0.01,249.997,701.125,412.799
13-09-2019 15.00,304,16.716,0.01,184.255,513.924,298.994
13-09-2019 16.00,305,16.371,0.01,102.388,296.538,132.005
13-09-2019 17.00,306,15.697,0.01,23.681,75.14,4.193
13-09-2019 18.00,307,15.117,0.009,0.051,0.232,0
13-09-2019 19.00,308,14.511,0.009,0,0,0
13-09-2019 20.00,309,14.113,0.009,0,0,0
13-09-2019 21.00,310,13.143,0.009,0,0,0
13-09-2019 22.00,311,11.718,0.009,0,0,0
13-09-2019 23.00,312,10.702,0.008,0,0,0
14-09-2019 0.00,313,10.081,0.008,0,0,0
14-09-2019 1.00,314,9.482,0.008,0,0,0
14-09-2019 2.00,315,8.805,0.008,0,0,0
14-09-2019 3.00,316,8.212,0.008,0,0,0
14-09-2019 4.00,317,7.877,0.007,0.033,0.349,0
14-09-2019 5.00,318,7.794,0.007,26.949,82.002,124.608
14-09-2019 6.00,319,8.566,0.007,147.205,306.034,1210.394
14-09-2019 7.00,320,10.788,0.007,329.3,521.67,2832.819
14-09-2019 8.00,321,13.94,0.007,501.175,706.326,3799.5
14-09-2019 9.00,322,16.459,0.007,636.655,847.376,3937.768
14-09-2019 10.00,323,17.888,0.007,720.928,935.217,3962.272
14-09-2019 11.00,324,18.633,0.007,742.113,963.813,3927.203
14-09-2019 12.00,325,18.796,0.007,705.263,931.194,3950.414
14-09-2019 13.00,326,18.555,0.007,615.34,839.573,3867.21
14-09-2019 14.00,327,17.937,0.007,486.861,695.153,3652.257
14-09-2019 15.00,328,16.991,0.007,327.385,507.775,3220.522
14-09-2019 16.00,329,15.356,0.008,160.56,290.169,2328.9
14-09-2019 17.00,330,11.984,0.008,27.807,70.196,598.276
14-09-2019 18.00,331,10.316,0.008,0.031,0.142,0
14-09-2019 19.00,332,9.854,0.007,0,0,0
14-09-2019 20.00,333,9.422,0.007,0,0,0
14-09-2019 21.00,334,8.907,0.007,0,0,0
14-09-2019 22.00,335,8.337,0.007,0,0,0
14-09-2019 23.00,336,7.837,0.007,0,0,0
15-09-2019 0.00,337,7.554,0.007,0,0,0
15-09-2019 1.00,338,7.237,0.007,0,0,0
15-09-2019 2.00,339,7.09,0.007,0,0,0
15-09-2019 3.00,340,7.022,0.007,0,0,0
15-09-2019 4.00,341,6.937,0.007,0.056,0.24,0
15-09-2019 5.00,342,7.363,0.007,31.742,76.896,1060.939
15-09-2019 6.00,343,9.289,0.007,152.176,299.657,2302.376
15-09-2019 7.00,344,11.849,0.007,309.43,515.507,2881.501
15-09-2019 8.00,345,14.987,0.008,458.389,700.334,3001.971
15-09-2019 9.00,346,17.007,0.007,567.589,841.508,3149.901
15-09-2019 10.00,347,18.229,0.007,642.521,929.44,3664.882
15-09-2019 11.00,348,18.925,0.007,672.502,958.044,3824.436
15-09-2019 12.00,349,19.239,0.007,644.474,925.408,3853.856
15-09-2019 13.00,350,19.179,0.007,559.249,833.685,3740.004
15-09-2019 14.00,351,18.725,0.007,432.71,689.137,3447.774
15-09-2019 15.00,352,17.875,0.007,284.028,501.578,2988.987
15-09-2019 16.00,353,16.305,0.008,133.365,283.763,1882.844
15-09-2019 17.00,354,14.139,0.007,22.069,65.39,255.37
15-09-2019 18.00,355,13.321,0.007,0.014,0.081,0
15-09-2019 19.00,356,12.97,0.007,0,0,0
15-09-2019 20.00,357,12.627,0.006,0,0,0
15-09-2019 21.00,358,11.72,0.006,0,0,0
15-09-2019 22.00,359,10.385,0.006,0,0,0
15-09-2019 23.00,360,8.792,0.006,0,0,0
16-09-2019 0.00,361,7.125,0.006,0,0,0
16-09-2019 1.00,362,5.486,0.005,0,0,0
16-09-2019 2.00,363,4.162,0.005,0,0,0
16-09-2019 3.00,364,2.97,0.005,0,0,0
16-09-2019 4.00,365,1.747,0.005,0.025,0.157,0
16-09-2019 5.00,366,1.638,0.005,27.782,71.934,1460.88
16-09-2019 6.00,367,3.983,0.005,167.478,293.242,2867.018
16-09-2019 7.00,368,6.939,0.004,347.829,509.29,3648.607
16-09-2019 8.00,369,9.051,0.004,518.823,694.285,4024.105
16-09-2019 9.00,370,10.284,0.004,653.39,835.598,4176.135
16-09-2019 10.00,371,11.245,0.004,735.379,923.593,4193.915
16-09-2019 11.00,372,11.925,0.004,761.156,952.232,4140.849
16-09-2019 12.00,373,12.286,0.004,730.344,919.555,4172.303
16-09-2019 13.00,374,12.327,0.004,646.452,827.757,4084.117
16-09-2019 14.00,375,12.021,0.004,516.779,683.073,3868.971
16-09-2019 15.00,376,11.354,0.004,352.983,495.339,3457.175
16-09-2019 16.00,377,9.928,0.005,174.585,277.323,2600.689
16-09-2019 17.00,378,6.381,0.005,28.765,60.734,593.915
16-09-2019 18.00,379,4.693,0.005,0.006,0.042,0
16-09-2019 19.00,380,4.131,0.005,0,0,0
16-09-2019 20.00,381,3.712,0.005,0,0,0
16-09-2019 21.00,382,3.281,0.005,0,0,0
16-09-2019 22.00,383,2.789,0.005,0,0,0
16-09-2019 23.00,384,2.37,0.005,0,0,0
17-09-2019 0.00,385,1.991,0.005,0,0,0
17-09-2019 1.00,386,1.627,0.005,0,0,0
17-09-2019 2.00,387,1.415,0.005,0,0,0
17-09-2019 3.00,388,1.331,0.005,0,0,0
17-09-2019 4.00,389,1.381,0.004,0.023,0.096,0
17-09-2019 5.00,390,1.933,0.005,29.031,67.117,1084.266
17-09-2019 6.00,391,5.363,0.005,153.437,286.788,2496.853
17-09-2019 7.00,392,8.449,0.005,297.178,503.03,3338.316
17-09-2019 8.00,393,11.686,0.005,419.813,688.174,3593.172
17-09-2019 9.00,394,13.581,0.005,516.537,829.622,3801.22
17-09-2019 10.00,395,14.783,0.005,569.371,917.685,3873.424
17-09-2019 11.00,396,15.563,0.005,572.394,946.349,3766.604
17-09-2019 12.00,397,15.924,0.005,524.295,913.642,3406.763
17-09-2019 13.00,398,15.88,0.006,439.557,821.759,2849.23
17-09-2019 14.00,399,15.499,0.006,332.662,676.94,2198.905
17-09-2019 15.00,400,14.564,0.006,214.355,489.046,1321.61
17-09-2019 16.00,401,12.828,0.007,96.97,270.85,705.466
17-09-2019 17.00,402,10.519,0.006,14.078,56.232,56.14
17-09-2019 18.00,403,10.155,0.006,0.003,0.02,0
17-09-2019 19.00,404,9.584,0.006,0,0,0
17-09-2019 20.00,405,8.684,0.006,0,0,0
17-09-2019 21.00,406,7.564,0.006,0,0,0
17-09-2019 22.00,407,6.043,0.005,0,0,0
17-09-2019 23.00,408,4.84,0.005,0,0,0
18-09-2019 0.00,409,4.466,0.005,0,0,0
18-09-2019 1.00,410,4.385,0.005,0,0,0
18-09-2019 2.00,411,3.761,0.005,0,0,0
18-09-2019 3.00,412,2.616,0.005,0,0,0
18-09-2019 4.00,413,1.413,0.004,0.007,0.054,0
18-09-2019 5.00,414,0.943,0.004,16.791,62.455,40.405
18-09-2019 6.00,415,1.405,0.004,126.869,280.305,458.327
18-09-2019 7.00,416,2.397,0.004,298.516,496.713,1033.992
18-09-2019 8.00,417,3.877,0.004,462.233,682.032,2234.067
18-09-2019 9.00,418,5.663,0.004,583.726,823.584,3481.25
18-09-2019 10.00,419,6.944,0.004,632.282,911.735,3602.207
18-09-2019 11.00,420,7.444,0.004,615.504,940.413,3082.229
18-09-2019 12.00,421,7.608,0.004,562.801,907.667,2540.536
18-09-2019 13.00,422,7.698,0.003,491.721,815.702,2404.958
18-09-2019 14.00,423,7.638,0.003,393.497,670.767,2314.738
18-09-2019 15.00,424,7.324,0.004,270.553,482.723,1871.931
18-09-2019 16.00,425,6.554,0.004,134.246,264.342,1239.684
18-09-2019 17.00,426,5.286,0.004,21.827,51.897,180.022
18-09-2019 18.00,427,4.532,0.004,0.002,0.008,0
18-09-2019 19.00,428,4.206,0.004,0,0,0
18-09-2019 20.00,429,4.011,0.004,0,0,0
18-09-2019 21.00,430,3.697,0.004,0,0,0
18-09-2019 22.00,431,3.271,0.004,0,0,0
18-09-2019 23.00,432,2.661,0.004,0,0,0
19-09-2019 0.00,433,1.999,0.004,0,0,0
19-09-2019 1.00,434,1.397,0.004,0,0,0
19-09-2019 2.00,435,0.967,0.004,0,0,0
19-09-2019 3.00,436,0.661,0.004,0,0,0
19-09-2019 4.00,437,0.365,0.004,0.001,0.028,0
19-09-2019 5.00,438,0.249,0.004,23.119,57.955,940.738
19-09-2019 6.00,439,1.653,0.004,153.908,273.789,2541.075
19-09-2019 7.00,440,3.811,0.004,323.378,490.371,3455.127
19-09-2019 8.00,441,5.623,0.004,472.895,675.832,3948.899
19-09-2019 9.00,442,7.075,0.004,582.311,817.497,4144.484
19-09-2019 10.00,443,8.311,0.004,652.176,905.699,4192.105
19-09-2019 11.00,444,9.324,0.004,673.076,934.42,4155.028
19-09-2019 12.00,445,10.051,0.004,643.678,901.645,4197.958
19-09-2019 13.00,446,10.41,0.004,563.087,809.612,4112.903
19-09-2019 14.00,447,10.346,0.005,446.112,664.554,3891.793
19-09-2019 15.00,448,9.788,0.005,299.884,476.351,3476.736
19-09-2019 16.00,449,8.337,0.006,141.832,257.8,2599.477
19-09-2019 17.00,450,5.009,0.005,19.455,47.733,396.419
